ts,price,alpha
2026-05-14 17:06:21.098,345.043,253
2026-05-14 17:06:21.735,345.043,251
2026-05-14 17:06:22.372,345.043,52
2026-05-14 17:05:02.761,345.16,176
2026-05-14 17:05:03.398,345.16,239
2026-05-14 17:05:04.035,345.16,176
2026-05-14 17:05:11.041,345.16,111
2026-05-14 17:05:11.677,345.16,175
2026-05-14 17:05:12.314,345.16,168
2026-05-14 17:05:12.951,345.16,109
2026-05-14 17:05:13.588,345.16,18
2026-05-14 17:05:14.862,345.16,145
2026-05-14 17:05:15.499,345.16,252
2026-05-14 17:05:16.136,345.16,253
2026-05-14 17:05:16.773,345.16,253
2026-05-14 17:05:17.409,345.16,253
2026-05-14 17:05:18.046,345.16,149
2026-05-14 17:05:26.963,345.16,37
2026-05-14 17:05:27.600,345.16,145
2026-05-14 17:05:28.237,345.16,173
2026-05-14 17:05:28.873,345.16,52
2026-05-14 17:06:05.176,345.16,25
2026-05-14 17:06:05.813,345.16,122
2026-05-14 17:06:06.450,345.16,80
2026-05-14 17:06:07.087,345.16,55
2026-05-14 17:06:14.729,345.16,73
2026-05-14 17:06:15.366,345.16,193
2026-05-14 17:06:16.003,345.16,196
2026-05-14 17:06:16.640,345.16,61
2026-05-14 17:06:18.551,345.16,55
2026-05-14 17:06:19.188,345.16,193
2026-05-14 17:06:19.825,345.16,242
2026-05-14 17:06:20.461,345.16,252
2026-05-14 17:06:21.098,345.16,252
2026-05-14 17:06:21.735,345.16,235
2026-05-14 17:06:22.372,345.16,31
2026-05-14 17:05:02.124,345.276,16
2026-05-14 17:05:02.761,345.276,178
2026-05-14 17:05:03.398,345.276,195
2026-05-14 17:05:04.035,345.276,178
2026-05-14 17:05:04.672,345.276,16
2026-05-14 17:05:10.404,345.276,18
2026-05-14 17:05:11.041,345.276,117
2026-05-14 17:05:11.677,345.276,176
2026-05-14 17:05:12.314,345.276,176
2026-05-14 17:05:12.951,345.276,117
2026-05-14 17:05:13.588,345.276,18
2026-05-14 17:05:14.862,345.276,79
2026-05-14 17:05:15.499,345.276,250
2026-05-14 17:05:16.136,345.276,253
2026-05-14 17:05:16.773,345.276,253
2026-05-14 17:05:17.409,345.276,253
2026-05-14 17:05:18.046,345.276,160
2026-05-14 17:06:06.450,345.276,15
2026-05-14 17:06:19.825,345.276,106
2026-05-14 17:06:20.461,345.276,237
2026-05-14 17:06:21.098,345.276,237
2026-05-14 17:06:21.735,345.276,235
2026-05-14 17:06:22.372,345.276,104
2026-05-14 17:05:02.124,345.392,65
2026-05-14 17:05:02.761,345.392,195
2026-05-14 17:05:03.398,345.392,198
2026-05-14 17:05:04.035,345.392,195
2026-05-14 17:05:04.672,345.392,65
2026-05-14 17:05:10.404,345.392,18
2026-05-14 17:05:11.041,345.392,111
2026-05-14 17:05:11.677,345.392,173
2026-05-14 17:05:12.314,345.392,180
2026-05-14 17:05:12.951,345.392,113
2026-05-14 17:05:14.862,345.392,10
2026-05-14 17:05:15.499,345.392,172
2026-05-14 17:05:16.136,345.392,252
2026-05-14 17:05:16.773,345.392,253
2026-05-14 17:05:17.409,345.392,248
2026-05-14 17:05:18.046,345.392,55
2026-05-14 17:06:05.813,345.392,15
2026-05-14 17:06:19.825,345.392,28
2026-05-14 17:06:20.461,345.392,225
2026-05-14 17:06:21.098,345.392,237
2026-05-14 17:06:21.735,345.392,225
2026-05-14 17:06:22.372,345.392,28
2026-05-14 17:05:02.124,345.509,19
2026-05-14 17:05:02.761,345.509,194
2026-05-14 17:05:03.398,345.509,210
2026-05-14 17:05:04.035,345.509,194
2026-05-14 17:05:04.672,345.509,19
2026-05-14 17:05:11.041,345.509,111
2026-05-14 17:05:11.677,345.509,176
2026-05-14 17:05:12.314,345.509,172
2026-05-14 17:05:12.951,345.509,110
2026-05-14 17:05:13.588,345.509,18
2026-05-14 17:05:15.499,345.509,19
2026-05-14 17:05:16.136,345.509,150
2026-05-14 17:05:16.773,345.509,194
2026-05-14 17:05:17.409,345.509,124
2026-05-14 17:06:05.176,345.509,55
2026-05-14 17:06:05.813,345.509,64
2026-05-14 17:06:06.450,345.509,55
2026-05-14 17:06:20.461,345.509,75
2026-05-14 17:06:21.098,345.509,142
2026-05-14 17:06:21.735,345.509,75
2026-05-14 17:05:02.124,345.625,15
2026-05-14 17:05:02.761,345.625,79
2026-05-14 17:05:03.398,345.625,127
2026-05-14 17:05:04.035,345.625,79
2026-05-14 17:05:04.672,345.625,15
2026-05-14 17:05:10.404,345.625,15
2026-05-14 17:05:11.041,345.625,95
2026-05-14 17:05:11.677,345.625,193
2026-05-14 17:05:12.314,345.625,194
2026-05-14 17:05:12.951,345.625,126
2026-05-14 17:05:13.588,345.625,18
2026-05-14 17:05:15.499,345.625,69
2026-05-14 17:05:16.136,345.625,128
2026-05-14 17:05:16.773,345.625,144
2026-05-14 17:05:17.409,345.625,87
2026-05-14 17:05:18.046,345.625,18
2026-05-14 17:06:04.539,345.625,15
2026-05-14 17:06:05.176,345.625,64
2026-05-14 17:06:05.813,345.625,64
2026-05-14 17:06:06.450,345.625,64
2026-05-14 17:06:07.087,345.625,15
2026-05-14 17:06:19.825,345.625,15
2026-05-14 17:06:20.461,345.625,83
2026-05-14 17:06:21.098,345.625,155
2026-05-14 17:06:21.735,345.625,178
2026-05-14 17:06:22.372,345.625,57
2026-05-14 17:05:02.124,345.742,10
2026-05-14 17:05:02.761,345.742,139
2026-05-14 17:05:03.398,345.742,175
2026-05-14 17:05:04.035,345.742,139
2026-05-14 17:05:04.672,345.742,10
2026-05-14 17:05:10.404,345.742,28
2026-05-14 17:05:11.041,345.742,225
2026-05-14 17:05:11.677,345.742,252
2026-05-14 17:05:12.314,345.742,252
2026-05-14 17:05:12.951,345.742,228
2026-05-14 17:05:13.588,345.742,28
2026-05-14 17:05:14.862,345.742,18
2026-05-14 17:05:15.499,345.742,115
2026-05-14 17:05:16.136,345.742,212
2026-05-14 17:05:16.773,345.742,226
2026-05-14 17:05:17.409,345.742,201
2026-05-14 17:05:18.046,345.742,67
2026-05-14 17:06:05.176,345.742,55
2026-05-14 17:06:05.813,345.742,64
2026-05-14 17:06:06.450,345.742,55
2026-05-14 17:06:19.825,345.742,31
2026-05-14 17:06:20.461,345.742,234
2026-05-14 17:06:21.098,345.742,252
2026-05-14 17:06:21.735,345.742,253
2026-05-14 17:06:22.372,345.742,246
2026-05-14 17:06:23.009,345.742,43
2026-05-14 17:06:26.193,345.742,15
2026-05-14 17:05:02.124,345.858,43
2026-05-14 17:05:02.761,345.858,211
2026-05-14 17:05:03.398,345.858,223
2026-05-14 17:05:04.035,345.858,211
2026-05-14 17:05:04.672,345.858,43
2026-05-14 17:05:10.404,345.858,95
2026-05-14 17:05:11.041,345.858,237
2026-05-14 17:05:11.677,345.858,252
2026-05-14 17:05:12.314,345.858,252
2026-05-14 17:05:12.951,345.858,238
2026-05-14 17:05:13.588,345.858,95
2026-05-14 17:05:14.862,345.858,18
2026-05-14 17:05:15.499,345.858,135
2026-05-14 17:05:16.136,345.858,212
2026-05-14 17:05:16.773,345.858,220
2026-05-14 17:05:17.409,345.858,199
2026-05-14 17:05:18.046,345.858,104
2026-05-14 17:05:18.683,345.858,15
2026-05-14 17:06:05.813,345.858,15
2026-05-14 17:06:19.825,345.858,125
2026-05-14 17:06:20.461,345.858,253
2026-05-14 17:06:21.098,345.858,253
2026-05-14 17:06:21.735,345.858,253
2026-05-14 17:06:22.372,345.858,253
2026-05-14 17:06:23.009,345.858,150
2026-05-14 17:06:25.557,345.858,55
2026-05-14 17:06:26.193,345.858,64
2026-05-14 17:06:26.830,345.858,55
2026-05-14 17:05:02.124,345.974,69
2026-05-14 17:05:02.761,345.974,218
2026-05-14 17:05:03.398,345.974,221
2026-05-14 17:05:04.035,345.974,218
2026-05-14 17:05:04.672,345.974,69
2026-05-14 17:05:10.404,345.974,25
2026-05-14 17:05:11.041,345.974,217
2026-05-14 17:05:11.677,345.974,252
2026-05-14 17:05:12.314,345.974,252
2026-05-14 17:05:12.951,345.974,234
2026-05-14 17:05:13.588,345.974,31
2026-05-14 17:05:14.862,345.974,18
2026-05-14 17:05:15.499,345.974,74
2026-05-14 17:05:16.136,345.974,193
2026-05-14 17:05:16.773,345.974,208
2026-05-14 17:05:17.409,345.974,183
2026-05-14 17:05:18.046,345.974,65
2026-05-14 17:06:19.825,345.974,145
2026-05-14 17:06:20.461,345.974,253
2026-05-14 17:06:21.098,345.974,253
2026-05-14 17:06:21.735,345.974,253
2026-05-14 17:06:22.372,345.974,253
2026-05-14 17:06:23.009,345.974,111
2026-05-14 17:06:24.920,345.974,15
2026-05-14 17:06:25.557,345.974,69
2026-05-14 17:06:26.193,345.974,85
2026-05-14 17:06:26.830,345.974,69
2026-05-14 17:06:27.467,345.974,15
2026-05-14 17:05:02.124,346.091,16
2026-05-14 17:05:02.761,346.091,181
2026-05-14 17:05:03.398,346.091,204
2026-05-14 17:05:04.035,346.091,181
2026-05-14 17:05:04.672,346.091,16
2026-05-14 17:05:11.041,346.091,56
2026-05-14 17:05:11.677,346.091,204
2026-05-14 17:05:12.314,346.091,216
2026-05-14 17:05:12.951,346.091,182
2026-05-14 17:05:13.588,346.091,44
2026-05-14 17:05:14.225,346.091,86
2026-05-14 17:05:14.862,346.091,148
2026-05-14 17:05:15.499,346.091,176
2026-05-14 17:05:16.136,346.091,194
2026-05-14 17:05:16.773,346.091,176
2026-05-14 17:05:17.409,346.091,47
2026-05-14 17:06:19.825,346.091,116
2026-05-14 17:06:20.461,346.091,253
2026-05-14 17:06:21.098,346.091,253
2026-05-14 17:06:21.735,346.091,253
2026-05-14 17:06:22.372,346.091,253
2026-05-14 17:06:23.009,346.091,79
2026-05-14 17:06:24.920,346.091,10
2026-05-14 17:06:25.557,346.091,131
2026-05-14 17:06:26.193,346.091,148
2026-05-14 17:06:26.830,346.091,131
2026-05-14 17:06:27.467,346.091,10
2026-05-14 17:05:02.761,346.207,69
2026-05-14 17:05:03.398,346.207,120
2026-05-14 17:05:04.035,346.207,69
2026-05-14 17:05:11.041,346.207,46
2026-05-14 17:05:11.677,346.207,221
2026-05-14 17:05:12.314,346.207,236
2026-05-14 17:05:12.951,346.207,229
2026-05-14 17:05:13.588,346.207,144
2026-05-14 17:05:14.225,346.207,238
2026-05-14 17:05:14.862,346.207,249
2026-05-14 17:05:15.499,346.207,253
2026-05-14 17:05:16.136,346.207,253
2026-05-14 17:05:16.773,346.207,253
2026-05-14 17:05:17.409,346.207,197
2026-05-14 17:05:18.046,346.207,16
2026-05-14 17:06:05.813,346.207,15
2026-05-14 17:06:19.825,346.207,31
2026-05-14 17:06:20.461,346.207,239
2026-05-14 17:06:21.098,346.207,253
2026-05-14 17:06:21.735,346.207,253
2026-05-14 17:06:22.372,346.207,244
2026-05-14 17:06:23.009,346.207,101
2026-05-14 17:06:24.920,346.207,29
2026-05-14 17:06:25.557,346.207,116
2026-05-14 17:06:26.193,346.207,127
2026-05-14 17:06:26.830,346.207,116
2026-05-14 17:06:27.467,346.207,29
2026-05-14 17:05:02.124,346.324,18
2026-05-14 17:05:02.761,346.324,105
2026-05-14 17:05:03.398,346.324,112
2026-05-14 17:05:04.035,346.324,105
2026-05-14 17:05:04.672,346.324,18
2026-05-14 17:05:11.041,346.324,61
2026-05-14 17:05:11.677,346.324,219
2026-05-14 17:05:12.314,346.324,235
2026-05-14 17:05:12.951,346.324,227
2026-05-14 17:05:13.588,346.324,189
2026-05-14 17:05:14.225,346.324,244
2026-05-14 17:05:14.862,346.324,250
2026-05-14 17:05:15.499,346.324,253
2026-05-14 17:05:16.136,346.324,253
2026-05-14 17:05:16.773,346.324,253
2026-05-14 17:05:17.409,346.324,229
2026-05-14 17:05:18.046,346.324,65
2026-05-14 17:06:05.176,346.324,55
2026-05-14 17:06:05.813,346.324,64
2026-05-14 17:06:06.450,346.324,55
2026-05-14 17:06:19.825,346.324,29
2026-05-14 17:06:20.461,346.324,171
2026-05-14 17:06:21.098,346.324,251
2026-05-14 17:06:21.735,346.324,249
2026-05-14 17:06:22.372,346.324,230
2026-05-14 17:06:23.009,346.324,28
2026-05-14 17:06:24.920,346.324,10
2026-05-14 17:06:25.557,346.324,135
2026-05-14 17:06:26.193,346.324,159
2026-05-14 17:06:26.830,346.324,135
2026-05-14 17:06:27.467,346.324,10
2026-05-14 17:05:02.124,346.44,18
2026-05-14 17:05:02.761,346.44,105
2026-05-14 17:05:03.398,346.44,112
2026-05-14 17:05:04.035,346.44,105
2026-05-14 17:05:04.672,346.44,18
2026-05-14 17:05:11.041,346.44,33
2026-05-14 17:05:11.677,346.44,211
2026-05-14 17:05:12.314,346.44,232
2026-05-14 17:05:12.951,346.44,222
2026-05-14 17:05:13.588,346.44,132
2026-05-14 17:05:14.225,346.44,232
2026-05-14 17:05:14.862,346.44,248
2026-05-14 17:05:15.499,346.44,253
2026-05-14 17:05:16.136,346.44,253
2026-05-14 17:05:16.773,346.44,253
2026-05-14 17:05:17.409,346.44,207
2026-05-14 17:05:18.046,346.44,16
2026-05-14 17:06:04.539,346.44,15
2026-05-14 17:06:05.176,346.44,67
2026-05-14 17:06:05.813,346.44,75
2026-05-14 17:06:06.450,346.44,67
2026-05-14 17:06:07.087,346.44,15
2026-05-14 17:06:19.825,346.44,73
2026-05-14 17:06:20.461,346.44,252
2026-05-14 17:06:21.098,346.44,253
2026-05-14 17:06:21.735,346.44,253
