ts,price
2026-05-14 17:01:37.044,381.0
2026-05-14 17:01:37.682,379.3
2026-05-14 17:01:38.149,380.66
2026-05-14 17:01:38.369,380.66
2026-05-14 17:01:38.369,380.67
2026-05-14 17:01:38.505,381.26
2026-05-14 17:01:38.369,380.36
2026-05-14 17:01:39.060,381.26
2026-05-14 17:01:40.383,380.59
2026-05-14 17:01:40.383,380.38
2026-05-14 17:01:41.210,381.63
2026-05-14 17:01:41.371,381.5
2026-05-14 17:01:41.638,381.63
2026-05-14 17:01:41.969,381.5
2026-05-14 17:01:41.969,380.36
2026-05-14 17:01:42.640,382.0
2026-05-14 17:01:43.022,381.6
2026-05-14 17:01:44.156,382.99
2026-05-14 17:01:44.156,382.99
2026-05-14 17:01:44.468,382.57
2026-05-14 17:01:44.603,383.8
2026-05-14 17:01:44.870,383.41
2026-05-14 17:01:44.870,383.95
2026-05-14 17:01:45.482,381.49
2026-05-14 17:01:45.482,381.49
2026-05-14 17:01:46.017,381.6
2026-05-14 17:01:46.219,381.49
2026-05-14 17:01:47.089,379.69
2026-05-14 17:01:46.422,384.0
2026-05-14 17:01:47.089,379.69
2026-05-14 17:01:47.384,378.91
2026-05-14 17:01:47.384,381.54
2026-05-14 17:01:47.384,381.54
2026-05-14 17:01:47.384,383.96
2026-05-14 17:01:47.384,378.34
2026-05-14 17:01:48.172,382.5
2026-05-14 17:01:48.635,382.49
2026-05-14 17:01:48.635,382.5
2026-05-14 17:01:48.763,379.83
2026-05-14 17:01:49.589,381.44
2026-05-14 17:01:49.725,381.44
2026-05-14 17:01:49.725,381.44
2026-05-14 17:01:50.129,379.2
2026-05-14 17:01:50.592,381.62
2026-05-14 17:01:50.592,381.62
2026-05-14 17:01:51.666,380.0
2026-05-14 17:01:51.666,380.0
2026-05-14 17:01:52.081,380.5
2026-05-14 17:01:52.081,380.5
2026-05-14 17:01:53.212,377.84
2026-05-14 17:01:53.212,379.76
2026-05-14 17:01:53.342,379.76
2026-05-14 17:01:53.342,379.95
2026-05-14 17:01:53.584,377.6
2026-05-14 17:01:54.657,379.14
2026-05-14 17:01:54.964,379.14
2026-05-14 17:01:55.853,377.6
2026-05-14 17:01:55.930,378.83
2026-05-14 17:01:56.171,381.3
2026-05-14 17:01:56.456,377.6
2026-05-14 17:01:56.862,378.73
2026-05-14 17:01:57.124,377.38
2026-05-14 17:01:57.692,381.3
2026-05-14 17:01:57.692,381.3
2026-05-14 17:01:58.929,378.78
2026-05-14 17:01:58.929,378.78
2026-05-14 17:01:59.126,380.69
2026-05-14 17:01:59.355,377.07
2026-05-14 17:02:00.065,380.03
2026-05-14 17:02:00.980,378.63
2026-05-14 17:02:00.980,377.54
2026-05-14 17:02:01.487,385.1
2026-05-14 17:02:01.683,385.1
2026-05-14 17:02:03.475,385.0
2026-05-14 17:02:03.475,385.0
2026-05-14 17:02:03.531,385.4
2026-05-14 17:02:03.531,385.51
2026-05-14 17:02:03.794,385.0
2026-05-14 17:02:04.568,385.01
2026-05-14 17:02:04.715,385.2
2026-05-14 17:02:04.914,384.4
2026-05-14 17:02:04.914,384.4
2026-05-14 17:02:06.150,383.2
2026-05-14 17:02:06.282,383.66
2026-05-14 17:02:06.825,383.68
2026-05-14 17:02:06.825,384.0
2026-05-14 17:02:07.570,382.5
2026-05-14 17:02:07.704,384.0
2026-05-14 17:02:08.109,382.2
2026-05-14 17:02:08.559,384.39
2026-05-14 17:02:08.747,383.51
2026-05-14 17:02:08.747,384.96
2026-05-14 17:02:09.020,382.2
2026-05-14 17:02:09.638,384.96
2026-05-14 17:02:10.582,382.59
2026-05-14 17:02:10.845,383.7
2026-05-14 17:02:11.049,383.69
2026-05-14 17:02:11.049,383.7
2026-05-14 17:02:11.860,381.11
2026-05-14 17:02:11.860,381.11
2026-05-14 17:02:14.063,385.26
2026-05-14 17:02:14.097,385.19
2026-05-14 17:02:14.282,385.26
2026-05-14 17:02:14.282,385.26
2026-05-14 17:02:15.249,386.73
2026-05-14 17:02:14.341,385.05
2026-05-14 17:02:15.315,385.6
2026-05-14 17:02:15.384,385.6
2026-05-14 17:02:15.384,385.6
2026-05-14 17:02:15.948,387.15
2026-05-14 17:02:15.948,388.12
2026-05-14 17:02:16.765,386.25
2026-05-14 17:02:16.765,387.86
2026-05-14 17:02:17.040,387.86
2026-05-14 17:02:17.040,386.1
2026-05-14 17:02:17.429,388.49
2026-05-14 17:02:17.997,388.38
2026-05-14 17:02:18.890,386.55
2026-05-14 17:02:18.950,388.79
2026-05-14 17:02:18.950,389.0
2026-05-14 17:02:19.345,385.05
2026-05-14 17:02:19.954,386.83
2026-05-14 17:02:20.454,386.83
2026-05-14 17:02:21.511,385.4
2026-05-14 17:02:21.511,385.4
2026-05-14 17:02:22.056,387.45
2026-05-14 17:02:22.584,387.29
2026-05-14 17:02:23.049,385.33
2026-05-14 17:02:23.447,387.96
2026-05-14 17:02:23.447,389.0
2026-05-14 17:02:23.792,385.6
2026-05-14 17:02:23.985,385.6
2026-05-14 17:02:24.855,387.03
2026-05-14 17:02:24.855,385.81
2026-05-14 17:02:25.564,385.81
2026-05-14 17:02:25.564,385.67
2026-05-14 17:02:25.898,385.05
2026-05-14 17:02:25.731,386.2
2026-05-14 17:02:26.554,385.16
2026-05-14 17:02:27.858,385.16
2026-05-14 17:02:27.858,385.16
2026-05-14 17:02:28.125,388.05
2026-05-14 17:02:28.873,385.4
2026-05-14 17:02:28.952,385.4
2026-05-14 17:02:28.952,385.4
2026-05-14 17:02:29.360,388.05
2026-05-14 17:02:29.360,385.05
2026-05-14 17:02:30.129,386.28
2026-05-14 17:02:30.643,386.28
2026-05-14 17:02:30.643,386.28
2026-05-14 17:02:30.711,385.05
2026-05-14 17:02:31.517,387.03
2026-05-14 17:02:31.517,388.44
2026-05-14 17:02:31.733,385.05
