ts,close,high,low,base_volume
2026-06-14 14:00,81.159,82.596,80.772,291067.49
2026-06-14 15:00,81.75,81.867,81.149,87320.002
2026-06-14 16:00,81.158,81.964,80.846,142100.483
2026-06-14 17:00,81.216,81.472,80.96,49266.871
2026-06-14 18:00,82.134,82.199,81.212,120269.757
2026-06-14 19:00,81.573,82.426,81.573,95539.795
2026-06-14 20:00,81.217,81.794,80.683,186311.14
2026-06-14 21:00,78.67,81.35,78.67,573441.507
2026-06-14 22:00,79.999,80.932,78.669,809156.819
2026-06-14 23:00,79.686,80.071,79.547,162877.035
2026-06-15 00:00,79.692,79.961,79.199,212637.033
2026-06-15 01:00,79.715,79.944,79.323,108354.121
2026-06-15 02:00,78.938,79.71,78.846,143202.88
2026-06-15 03:00,79.215,79.362,78.838,96874.157
2026-06-15 04:00,79.168,79.375,79.14,32786.511
2026-06-15 05:00,79.493,79.69,79.152,73452.419
2026-06-15 06:00,79.208,79.768,79.158,89970.107
2026-06-15 07:00,79.097,79.367,78.473,203786.531
2026-06-15 08:00,78.99,79.415,78.788,125979.386
2026-06-15 09:00,78.886,79.13,78.6,95738.733
2026-06-15 10:00,79.255,79.367,78.675,104170.537
2026-06-15 11:00,79.187,79.25,78.871,90764.155
2026-06-15 12:00,79.051,79.345,78.822,116236.275
2026-06-15 13:00,78.962,79.32,78.919,202887.545
2026-06-15 14:00,79.127,79.137,78.569,200973.509
2026-06-15 15:00,78.916,79.43,78.844,142540.729
2026-06-15 16:00,79.221,79.221,78.77,68243.554
2026-06-15 17:00,79.274,79.388,79.006,114439.135
2026-06-15 18:00,79.628,79.746,79.1,165485.464
2026-06-15 19:00,79.974,80.151,79.621,93671.576
2026-06-15 20:00,79.796,80.24,79.774,81537.127
2026-06-15 21:00,79.823,79.943,79.582,47738.06
2026-06-15 22:00,80.119,80.168,79.631,84163.482
2026-06-15 23:00,80.165,80.185,79.98,31006.656
2026-06-16 00:00,79.987,80.175,79.871,35679.561
2026-06-16 01:00,79.62,80.022,79.548,86446.533
2026-06-16 02:00,79.456,79.737,79.321,60201.616
2026-06-16 03:00,79.43,79.489,79.322,31811.818
2026-06-16 04:00,79.343,79.551,79.306,16802.872
2026-06-16 05:00,79.255,79.35,79.051,38364.981
2026-06-16 06:00,79.26,79.492,79.117,36660.854
2026-06-16 07:00,78.208,79.274,78.15,159581.708
2026-06-16 08:00,77.53,78.381,77.335,171531.145
2026-06-16 09:00,77.809,78.128,77.546,77549.122
2026-06-16 10:00,77.34,77.826,77.171,127057.299
2026-06-16 11:00,77.361,77.5,77.138,116874.098
2026-06-16 12:00,76.475,77.378,76.06,339814.276
2026-06-16 13:00,76.935,77.223,76.44,285873.251
2026-06-16 14:00,76.365,77.026,76.157,221581.377
2026-06-16 15:00,75.241,76.559,74.938,411563.23
2026-06-16 16:00,75.023,75.435,74.729,350664.392
2026-06-16 17:00,75.117,75.365,74.871,164055.544
2026-06-16 18:00,75.688,75.743,74.996,163132.705
2026-06-16 19:00,76.152,76.441,75.692,216936.553
2026-06-16 20:00,75.856,76.198,75.76,107773.206
2026-06-16 21:00,75.789,75.91,75.605,66489.751
2026-06-16 22:00,75.961,76.084,75.545,174627.184
2026-06-16 23:00,75.894,76.014,75.759,55093.634
2026-06-17 00:00,75.911,75.959,75.68,69345.52
2026-06-17 01:00,75.449,75.943,75.366,110691.297
