,ust_market_cap_usd
2022-02-16 00:00:00,11715257970.783005
2022-02-19 00:00:00,12091003276.277163
2022-02-22 00:00:00,12231799536.118307
2022-02-25 00:00:00,12582066058.588345
2022-02-28 00:00:00,12975022061.569471
2022-03-03 00:00:00,13354018249.333935
2022-03-06 00:00:00,13780903744.841799
2022-03-09 00:00:00,14160935241.22763
2022-03-12 00:00:00,14593650606.111443
2022-03-15 00:00:00,14904434816.518427
2022-03-18 00:00:00,15294200865.60696
2022-03-21 00:00:00,15560604384.228504
2022-03-24 00:00:00,15864180359.756775
2022-03-27 00:00:00,16187433742.240625
2022-03-30 00:00:00,16335705718.126434
2022-04-02 00:00:00,16527167826.251154
2022-04-05 00:00:00,16694112941.62102
2022-04-08 00:00:00,16735342236.437965
2022-04-11 00:00:00,16748736986.59193
2022-04-14 00:00:00,17091839511.334784
2022-04-17 00:00:00,17476158235.232506
2022-04-20 00:00:00,17816367107.74586
2022-04-23 00:00:00,18113331347.202168
2022-04-26 00:00:00,18389395126.490948
2022-04-29 00:00:00,18492716474.232788
2022-05-02 00:00:00,18636193550.13609
2022-05-05 00:00:00,18687687627.689163
2022-05-08 00:00:00,18654323091.909485
2022-05-11 00:00:00,10694457664.430109
2022-05-14 00:00:00,1825725739.9998167
2022-05-17 00:00:00,1427219343.767958
2022-05-20 00:00:00,857907677.6841527
2022-05-23 00:00:00,724974839.3644387
2022-05-26 00:00:00,1068476167.2537582
2022-05-29 00:00:00,323270049.06450325
2022-06-01 00:00:00,219893466.9152565
2022-06-04 00:00:00,198274800.0030308
2022-06-07 00:00:00,161800026.79911765
2022-06-10 00:00:00,117587530.29676127
2022-06-13 00:00:00,100690148.28984328
2022-06-16 00:00:00,79895075.95115767
2022-06-19 00:00:00,67062213.892020784
2022-06-22 00:00:00,85196234.71389839
2022-06-25 00:00:00,142517334.99508998
2022-06-28 00:00:00,209557408.1656738
2022-07-01 00:00:00,479966739.0302283
2022-07-04 00:00:00,672905840.0760199
2022-07-07 00:00:00,506242732.5555798
2022-07-10 00:00:00,478349848.7306018
2022-07-13 00:00:00,411085450.57218665
2022-07-16 00:00:00,491902608.2694736
2022-07-19 00:00:00,440665858.45827013
2022-07-22 00:00:00,391148012.0510824
2022-07-25 00:00:00,364882917.9959413
2022-07-28 00:00:00,360807975.8580714
2022-07-31 00:00:00,345762433.3400608
2022-08-03 00:00:00,335877117.54876745
2022-08-06 00:00:00,330650113.5821128
2022-08-09 00:00:00,308443449.49339926
2022-08-12 00:00:00,283468490.41914964
2022-08-15 00:00:00,280273742.5951558
2022-08-18 00:00:00,240243815.47124144
2022-08-21 00:00:00,219738652.19265866
2022-08-24 00:00:00,298963870.8945661
2022-08-27 00:00:00,249691919.23726323
2022-08-30 00:00:00,263504955.0498614
2022-09-02 00:00:00,364342954.7235672
