date,mcap,buyback_usd,ann14,ann30,pe_14d,pe_30d
2026-03-06,7293297549.835842,1835993.67498,574577069.2596965,590257197.2776,12.693332087256389,12.35613489081401
2026-03-07,7429875990.850559,714837.63198,580400375.327957,535031050.99814665,12.80129425597336,13.88681269430902
2026-03-08,7218580285.856758,1172058.74311,597763912.9374535,503432310.3985584,12.075972017755557,14.338730623272744
2026-03-09,7330775406.951212,1937249.56996,603195641.6120571,507128024.63351494,12.15323006538892,14.455472880342054
2026-03-10,8295942323.837143,1644876.41058,606323964.4612893,513927527.38404995,13.682359283304885,16.142241623180684
2026-03-11,8133322717.490473,1392462.79064,588696399.1521322,511953824.4544167,13.815818695688408,15.886828711862952
2026-03-12,8637132469.793058,1366566.185,588216947.5908108,512087103.41553,14.683583166327642,16.866529955909687
2026-03-13,8899305990.368925,1830670.62315,603589715.1471179,513456582.1303651,14.743965589605557,17.332149007507354
2026-03-14,8684194532.225943,628780.06238,572633158.4334106,504603279.2716933,15.165371415067636,17.209944701033375
2026-03-15,9030529128.002771,929730.28111,557150551.5337356,500320383.95503503,16.20841817914986,18.049492720277346
2026-03-16,8886905084.058113,2056534.62334,559987921.6284535,516248964.6651499,15.869815652835612,17.214378511775514
2026-03-17,9716525628.185892,1717663.47195,553838067.1552286,525249676.99115324,17.543982987833452,18.49887025889508
2026-03-18,9817546867.893759,1931952.0592,543466331.9237858,538376491.45497,18.064682743347095,18.235467231048112
2026-03-19,10037420612.946964,1919269.57112,549550405.7108929,545404849.3738917,18.264786102673614,18.403614534175155
2026-03-20,9336726145.041437,1398791.89286,538151930.67705,548123445.2420616,17.349610050260125,17.03398427140471
2026-03-21,9424955295.834589,565820.1265,534266831.4270357,542452194.15091,17.640914130230346,17.374720569777196
2026-03-22,9429693707.880074,1226196.43097,535678278.28910005,541076401.4197,17.60327810565237,17.427656580730613
2026-03-23,9160930583.446041,2320660.86717,545674358.5377893,563331460.2796999,16.788273885535016,16.262061023358335
2026-03-24,8866384368.736395,1474551.66085,541233748.9912572,575114774.996635,16.381802474922196,15.416721590552552
2026-03-25,9622247924.23051,1489905.01243,543774206.9164964,572206889.5948349,17.695300368868235,16.816029480252812
2026-03-26,9596883953.252699,1376153.55574,544024163.3679322,570397312.1905899,17.640547239373582,16.824910896575265
2026-03-27,9306503225.743994,1328434.09967,530930139.7200607,561392099.3061817,17.528677559444937,16.57754577815719
2026-03-28,9193086571.724155,646955.65538,531404003.39470357,552413093.8005216,17.299618582090233,16.641688393873974
2026-03-29,9404913865.55811,700025.42068,525415269.5334929,545830868.6967467,17.899962964358778,17.230454349373378
2026-03-30,9023333310.649424,1240450.62837,504138793.95034635,538826467.449895,17.898510130402997,16.746269635480544
2026-03-31,8757865975.385136,1834915.21977,507195714.5185107,542614334.3170766,17.267231809517796,16.14013014677839
2026-04-01,8712783743.808138,1608560.48183,498764434.1085071,538488088.30624,17.46873503396727,16.180086306483254
2026-04-02,8577163473.930486,1732229.65597,493888036.32066774,535795378.1243117,17.36661519041448,16.00828193769986
2026-04-03,8393169235.592716,750398.22156,476983487.03320354,516579663.3250184,17.596351789445606,16.247579669647106
2026-04-04,8490797572.694439,387540.53241,472335483.33014286,500782861.12136334,17.97620096807278,16.95504824921857
2026-04-05,8689369262.455582,584199.16702,455597697.52001786,485552694.60785,19.072460878873937,17.89583161406082
2026-04-06,8806780782.567854,1704830.87377,439542129.8349464,497597612.38296175,20.03626088328532,17.698599357004085
2026-04-07,8661929090.11392,1312533.34251,435318080.8210821,499306720.00899506,19.897930896359934,17.3479121009184
2026-04-08,9212111989.425228,2524696.89439,462296583.4578964,506453995.7895601,19.926844192791272,18.189434906251606
2026-04-09,9238401704.465471,1671725.46336,470002565.3351322,506780659.26505,19.656066553334853,18.22958618401757
2026-04-10,9403959435.710348,1295503.62236,469144020.74812144,505600989.38431,20.044930809763503,18.599566917703058
2026-04-11,9916115414.841852,751239.74879,471862856.04059637,498114517.74375504,21.014825150782215,19.907300553610842
2026-04-12,10073827471.237087,1138369.81616,483291120.6370393,489691524.59204334,20.844222128390232,20.57178236774566
