order,first_trade_kst,ticker,name,korean_name,open,high_24h,close_24h,day_one_pump_pct,day_one_close_pct
32,2026-05-12T16:05:00,VVV,Venice Token,베니스토큰,23000.0,27360.0,22230.0,18.96,-3.35
33,2026-05-13T20:35:00,UP2,Superform,슈퍼폼,175.0,464.0,278.0,165.14,58.86
34,2026-05-15T20:35:00,IRYS,Irys,아이리스,103.0,146.0,78.5,41.75,-23.79
35,2026-05-18T16:35:00,TRAC,OriginTrail,오리진트레일,444.0,931.0,566.0,109.68,27.48
36,2026-05-29T18:35:00,IO,io.net,아이오넷,220.0,332.0,257.0,50.91,16.82
37,2026-06-01T15:05:00,SLX,Solstice,솔스티스,251.0,748.0,468.0,198.01,86.45
38,2026-06-05T20:05:00,BABY,Babylon,바빌론,34.0,40.7,22.3,19.71,-34.41
39,2026-06-16T14:05:00,SPX,SPX6900,에스피엑스6900,579.0,733.0,722.0,26.6,24.7
40,2026-06-19T21:05:00,RE,Re,리,1209.0,1596.0,1537.0,32.01,27.13
41,2026-06-23T14:05:00,ARX,Arcium,아르키움,664.0,690.0,466.0,3.92,-29.82
42,2026-06-30T16:05:00,AI,Gensyn,젠신,59.0,63.9,52.8,8.31,-10.51
43,2026-07-07T15:35:00,OPG,OpenGradient,오픈그라디언트,233.0,240.0,181.0,3.0,-22.32
44,2026-07-14T17:05:00,DRV,Derive,디라이브,239.0,306.0,224.0,28.03,-6.28
45,2026-07-23T15:05:00,O,o1.exchange,오원익스체인지,910.0,1045.0,807.0,14.84,-11.32
46,2026-07-25T18:05:00,MORPHO,Morpho,모포,2997.0,3049.0,2808.0,1.74,-6.31
47,2026-07-26T14:05:00,EUL,Euler,오일러,3419.0,3990.0,2884.0,16.7,-15.65
48,2026-07-27T18:05:00,GEOD,GEODNET,지오드넷,479.0,512.0,323.0,6.89,-32.57
49,2026-07-28T14:05:00,RLUSD,Ripple USD,리플유에스디,1460.0,1480.0,1431.0,1.37,-1.99
50,2026-07-29T18:05:00,META2,MetaDAO,메타다오,10000.0,10750.0,6590.0,7.5,-34.1
51,2026-07-30T20:05:00,USDG,Global Dollar,글로벌달러,1424.0,1429.0,1424.0,0.35,0.0
52,2026-07-31T18:05:00,CFX,Conflux,콘플럭스,52.9,65.8,60.4,24.39,14.18
53,2026-08-04T17:05:00,HOME,Defi App,디파이앱,9.09,17.3,14.1,90.32,55.12
54,2026-08-04T23:05:00,QUID,Squid,스퀴드,199.0,207.0,155.0,4.02,-22.11
55,2026-08-05T17:05:00,GRVT,Grvt,그래비티토큰,450.0,505.0,400.0,12.22,-11.11
56,2026-08-06T14:05:00,CAP,Cap,캡,43.5,47.8,44.7,9.89,2.76
57,2026-08-07T16:05:00,BSB,Block Street,블록스트리트,219.0,277.0,218.0,26.48,-0.46
58,2026-08-07T19:35:00,KMNO,Kamino Finance,카미노파이낸스,29.5,30.9,25.8,4.75,-12.54
