date,usd_per_ph_day
2018-11-12,211.0613293650779
2018-11-19,171.06289905753894
2018-11-26,155.6988655753965
2018-12-03,163.34399231150715
2018-12-10,149.66598635912774
2018-12-17,183.05559226190573
2018-12-24,189.89403477441152
2018-12-31,173.23755977182603
2019-01-07,172.5411444587776
2019-01-14,156.55085639880662
2019-01-21,153.6832285026876
2019-01-28,149.8378188943196
2019-02-04,150.9133199404764
2019-02-11,150.7913973560835
2019-02-18,165.14245684523797
2019-02-25,160.15843374091705
2019-03-04,161.60714806547298
2019-03-11,163.8070652281733
2019-03-18,165.91098762063302
2019-03-25,162.1138065828333
2019-04-01,202.19490959597005
2019-04-08,214.05825590912406
2019-04-15,213.7392450396814
2019-04-22,220.44051636905084
2019-04-29,220.04718427579414
2019-05-06,248.0683137400798
2019-05-13,313.95270262896696
2019-05-20,322.9605719246031
2019-05-27,337.5554672619016
2019-06-03,288.1519174582709
2019-06-10,295.5605128968224
2019-06-17,350.1120260416683
2019-06-24,408.484006944447
2019-07-01,368.18322470238
2019-07-08,347.89032341269825
2019-07-15,295.64115649801806
2019-07-22,282.3458179563458
2019-07-29,289.2504228670656
2019-08-05,302.6378174603193
2019-08-12,272.77678621031737
2019-08-19,260.1678454861119
2019-08-26,245.05956622023845
2019-09-02,247.97977455357199
2019-09-09,235.5240169647093
2019-09-16,217.24660350215984
2019-09-23,179.91961631944497
2019-09-30,163.88241269841348
2019-10-07,164.6485505592923
2019-10-14,158.33573015873307
2019-10-21,158.6879377480145
2019-10-28,173.7771505456367
2019-11-04,176.71839360119034
2019-11-11,173.2902591765886
2019-11-18,154.11690153770027
2019-11-25,145.1492539682532
2019-12-02,145.33112003968026
2019-12-09,142.8473802083311
2019-12-16,138.73160590278115
2019-12-23,142.92679357126815
2019-12-30,136.60470992385342
2020-01-06,146.85324230473304
2020-01-13,152.20685367063422
2020-01-20,146.0199365079353
2020-01-27,152.84822916666545
2020-02-03,158.43026587301483
2020-02-10,166.67432018849365
2020-02-17,160.41973263889096
2020-02-24,147.87278968253986
2020-03-02,145.5317428075379
2020-03-09,103.63643526785779
2020-03-16,90.49666245039755
2020-03-23,110.91643055555542
2020-03-30,120.64767385912498
2020-04-06,125.28890649801578
2020-04-13,120.36247842261928
2020-04-20,118.08176041666736
2020-04-27,137.88645684523834
2020-05-04,150.6913489583329
2020-05-11,90.32301140873055
2020-05-18,92.89408258928707
2020-05-25,84.04821428571425
2020-06-01,90.21573164682432
2020-06-08,90.53324851190754
2020-06-15,80.77938392857023
2020-06-22,76.92938219245968
2020-06-29,75.85788814484198
2020-07-06,76.85860515872814
2020-07-13,71.99108856866421
2020-07-20,76.83138201299928
2020-07-27,96.43583010912717
2020-08-03,97.71625148809402
2020-08-10,96.66339434523651
2020-08-17,99.03887797619008
2020-08-24,90.87738219246096
2020-08-31,89.2249275793654
2020-09-07,80.76166220238105
2020-09-14,82.69971626984263
2020-09-21,74.00823883928625
2020-09-28,75.96408630952425
2020-10-05,78.61831448412639
2020-10-12,78.73735540674609
2020-10-19,88.36413938492093
2020-10-26,109.77179513888926
2020-11-02,131.24607142857138
2020-11-09,131.32737921626972
2020-11-16,137.3991946924603
2020-11-23,138.1269379960319
2020-11-30,139.88046279761815
2020-12-07,131.10408606150688
2020-12-14,162.27959747023812
2020-12-21,182.9303938492077
2020-12-28,215.4520334821436
2021-01-04,271.5655835813525
2021-01-11,249.8972028769838
2021-01-18,227.76900347222377
2021-01-25,222.36649503968036
2021-02-01,252.20976587301772
2021-02-08,319.23995709325413
2021-02-15,352.2908655753978
2021-02-22,327.85688169643004
2021-03-01,319.13384623015827
2021-03-08,366.4999910712075
2021-03-15,372.54840352182913
2021-03-22,339.7621334325404
2021-03-29,359.0913214941215
2021-04-05,349.52942832341284
2021-04-12,383.52795610119534
2021-04-19,370.5569605654772
2021-04-26,348.6568816964288
2021-05-03,379.4783219246023
2021-05-10,314.20033382936566
2021-05-17,227.36103869047716
2021-05-24,209.5016088789691
2021-05-31,230.7034635416652
2021-06-07,223.09571254960338
2021-06-14,249.43434226190675
2021-06-21,221.6285441468255
2021-06-28,260.8879769345224
2021-07-05,307.7737053571413
2021-07-12,291.9083096460572
2021-07-19,300.6750171130931
2021-07-26,365.40583209325325
2021-08-02,358.3848611111066
2021-08-09,392.7710404265838
2021-08-16,385.1022244543651
2021-08-23,368.2625451388861
2021-08-30,355.4648514384982
2021-09-06,332.8109188988109
2021-09-13,326.5760513392877
2021-09-20,291.92034226190356
2021-09-27,299.247480654762
2021-10-04,342.55426190476294
2021-10-11,376.33661970782686
2021-10-18,398.38587316153496
2021-10-25,387.864436755956
2021-11-01,364.74380381944553
2021-11-08,384.0677341269837
2021-11-15,337.1297859623035
2021-11-22,317.14158134920586
2021-11-29,313.2341852678527
2021-12-06,276.10862103174344
2021-12-13,250.27818377975984
2021-12-20,258.77439682540074
2021-12-27,252.83076562499627
2022-01-03,230.78139781745963
2022-01-10,222.93265624999597
2022-01-17,200.5042621527822
2022-01-24,176.34095436507738
2022-01-31,186.47271254960128
2022-02-07,207.181626488096
2022-02-14,194.12277480158716
2022-02-21,173.27800520833256
2022-02-28,190.59888839285512
2022-03-07,181.33540029761897
2022-03-14,186.9267423115079
2022-03-21,200.26310565476186
2022-03-28,212.49036061507775
2022-04-04,196.32631423611298
2022-04-11,180.99479042658893
2022-04-18,182.0240930059511
2022-04-25,169.98926388888935
2022-05-02,159.415111607142
2022-05-09,126.96645634920569
2022-05-16,121.94315575396791
2022-05-23,123.49150446428612
2022-05-30,130.05874305555747
2022-06-06,125.39731696428461
2022-06-13,90.31408556547643
2022-06-20,89.25520610118946
2022-06-27,85.82331274801724
2022-07-04,90.68235094246087
2022-07-11,90.20814880952416
2022-07-18,102.9674895833325
2022-07-25,105.0228499503976
2022-08-01,105.60941815476107
2022-08-08,109.0807390873013
2022-08-15,102.832029513889
2022-08-22,94.07829737103243
2022-08-29,84.8515803571434
2022-09-05,83.16468725198231
2022-09-12,82.52029241071362
2022-09-19,75.8389149305543
2022-09-26,78.1610815972232
2022-10-03,79.88974751984368
2022-10-10,69.12174429563493
2022-10-17,68.86996304562933
2022-10-24,70.50689682540079
2022-10-31,71.93946155753864
2022-11-07,62.504694940475815
2022-11-14,58.87813665674679
2022-11-21,57.45731026785833
2022-11-28,58.77737326388937
2022-12-05,63.027297619046735
2022-12-12,64.23574280754225
2022-12-19,61.10134077380963
2022-12-26,60.35745833333569
2023-01-02,62.34930629960027
2023-01-09,69.78324479167082
2023-01-16,73.41886086309476
2023-01-23,77.6590878973211
2023-01-30,76.1220715227823
2023-02-06,73.2527442392883
2023-02-13,77.19007618763123
2023-02-20,76.38579323392473
2023-02-27,68.80378871079495
2023-03-06,64.14322646436563
2023-03-13,76.30791255254097
2023-03-20,80.65872536823193
2023-03-27,77.46634211312617
2023-04-03,76.79575438334356
2023-04-10,80.97910576995109
2023-04-17,76.33098251643928
2023-04-24,77.09917461107702
2023-05-01,85.85947335454755
2023-05-08,95.76193410205865
2023-05-15,76.88317138161199
2023-05-22,73.45594184859647
2023-05-29,72.75723568747487
2023-06-05,69.11760704788853
2023-06-12,65.53700248016008
2023-06-19,73.30368943142109
2023-06-26,77.16682527788089
2023-07-03,77.30070634450247
2023-07-10,74.03970767326838
2023-07-17,71.80558502069589
2023-07-24,71.26813308546048
2023-07-31,71.6090559065156
2023-08-07,72.38295495540689
2023-08-14,67.88037032428443
2023-08-21,61.025916305915906
2023-08-28,61.03464996388527
2023-09-04,61.50290844789937
2023-09-11,62.877979677225106
2023-09-18,62.6366195955378
2023-09-25,60.49583043118737
2023-10-02,62.81991905758088
2023-10-09,60.574138171491455
2023-10-16,60.988665189354194
2023-10-23,71.46312528008673
2023-10-30,72.4024522357209
2023-11-06,82.69023635186416
2023-11-13,86.07523392394828
2023-11-20,83.30753785237373
2023-11-27,77.08608391434173
2023-12-04,97.18885549967668
2023-12-11,103.5805303633636
2023-12-18,108.37831291093904
2023-12-25,93.54026870206138
2024-01-01,88.7266391932276
2024-01-08,86.88350833063588
2024-01-15,83.00359630223393
2024-01-22,77.63799910341037
2024-01-29,80.75454586207807
2024-02-05,79.61556720518334
2024-02-12,85.53296956456876
2024-02-19,81.93848675035126
2024-02-26,98.0338381996667
2024-03-04,113.20981052895891
2024-03-11,112.32058334370643
2024-03-18,101.53787911239372
2024-03-25,108.60978036207868
2024-04-01,105.03609423217034
2024-04-08,110.50992677824085
2024-04-15,111.55198461808133
2024-04-22,66.73172248922911
2024-04-29,48.66177404899367
2024-05-06,49.91926378079792
2024-05-13,51.392087313764314
2024-05-20,54.10654986053021
2024-05-27,55.01758628554101
2024-06-03,63.87552749551746
2024-06-10,56.685459005778384
2024-06-17,51.926838264595574
2024-06-24,48.069118599323346
2024-07-01,47.03441550032092
2024-07-08,47.237840900601576
2024-07-15,51.958750996211975
2024-07-22,52.35146966527133
2024-07-29,47.2007090555888
2024-08-05,40.9582074719794
2024-08-12,42.828661087866806
2024-08-19,46.24387766792261
2024-08-26,43.514434399282386
2024-09-02,40.26222579199147
2024-09-09,40.46742354054445
2024-09-16,42.39044979079623
2024-09-23,45.94784493923131
2024-09-30,44.92196478382274
2024-10-07,45.37726344367228
2024-10-14,49.0161166039899
2024-10-21,47.00250569989603
2024-10-28,47.72323117904823
2024-11-04,47.02820133492887
2024-11-11,57.47546249252953
2024-11-18,61.03481420601766
2024-11-25,60.43977659892552
2024-12-02,61.72839235903506
2024-12-09,62.4266641761306
2024-12-16,60.23167737597219
2024-12-23,56.4048445905536
2024-12-30,55.52687338115515
2025-01-06,55.80101987447813
2025-01-13,57.63034917314234
2025-01-20,60.495130504084685
2025-01-27,60.02606121737362
2025-02-03,56.99478008567452
2025-02-10,53.9544931759312
2025-02-17,53.87563658099116
2025-02-24,50.79335134865766
2025-03-03,50.348698413489046
2025-03-10,46.794963887229784
2025-03-17,47.65327737789748
2025-03-24,48.11261381749136
2025-03-31,45.86640067742403
2025-04-07,42.47656427787975
2025-04-14,44.22085450288874
2025-04-21,47.894802998601484
2025-04-28,49.590529317988114
2025-05-05,53.11730698346648
2025-05-12,55.369619944214314
2025-05-19,56.49387876071088
2025-05-26,55.25358736800261
2025-06-02,52.476279886429154
2025-06-09,53.542814128400416
2025-06-16,52.575119794779475
2025-06-23,53.99081440525911
2025-06-30,58.57549088463974
2025-07-07,60.17469241880819
2025-07-14,59.70736003187863
2025-07-21,59.24793410042083
2025-07-28,57.88872232322957
2025-08-04,57.38341427574914
2025-08-11,58.396733413029295
2025-08-18,55.974432904960295
2025-08-25,53.9016495230531
2025-09-01,53.22981520223062
2025-09-08,53.138584379354235
2025-09-15,52.911294114715076
2025-09-22,49.45784767881608
2025-09-29,50.93111077903965
2025-10-06,50.20768922318296
2025-10-13,46.89000871687542
2025-10-20,47.56247739782454
2025-10-27,46.22657991083837
2025-11-03,41.950547198006014
2025-11-10,41.305909136194465
2025-11-17,37.00531098928437
2025-11-24,37.63346673648487
2025-12-01,38.23255967673565
2025-12-08,38.6807619118787
2025-12-15,37.33412681809136
2025-12-22,37.4532778760208
2025-12-29,37.94192423600777
2026-01-05,39.28958405977924
2026-01-12,40.84187422166867
2026-01-19,39.40515380208969
2026-01-26,37.94589496893413
2026-02-02,33.12368942923434
2026-02-09,34.417372851807755
2026-02-16,31.96932504794449
2026-02-23,28.904361037084783
2026-03-02,30.158079001767994
2026-03-09,30.68259837617211
2026-03-16,31.963280284916802
2026-03-23,32.433524782068595
2026-03-30,31.327943732106263
2026-04-06,32.35717075114333
2026-04-13,34.274916288804235
2026-04-20,36.02103651853451
2026-04-27,36.32186749389517
2026-05-04,38.52528967254482
2026-05-11,37.74820046352894
2026-05-18,35.52598958852581
2026-05-25,34.428067440357076
2026-06-01,29.722586357185424
2026-06-08,29.241390715282186
2026-06-15,32.68078026548674
2026-06-22,30.48198894202019
2026-06-29,28.83154338513553
2026-07-06,30.244981320978507
2026-07-13,31.805316049016522
2026-07-20,32.40881550109671
2026-07-27,32.013077133821504
2026-08-03,32.237498495939185
2026-08-10,31.54133119147355
2026-08-17,35.31218627719354
2026-08-24,39.59655638048322
2026-08-31,39.30034122441836
