date,USDT0,USDe,USDY,USDC,AUSD
2025-02-13,278758305.0,78679647.0,25066629.0,39957385.0,6778177.0
2025-02-14,278942260.0,78172447.0,25206406.0,39956272.0,6793134.0
2025-02-15,279007260.0,77896866.0,25136517.0,39956308.0,6785234.0
2025-02-16,279143748.0,77528469.0,25043333.0,40014976.0,6785573.0
2025-02-17,279211468.0,78893493.0,25136517.0,40012485.0,6786361.0
2025-02-18,279049106.0,78803347.0,25159814.0,39967127.0,6784705.0
2025-02-19,279731936.0,78609807.0,25252998.0,39970319.0,6785186.0
2025-02-20,279800369.0,79433281.0,25113221.0,39949196.0,6786361.0
2025-02-21,280309613.0,77590596.0,25229934.0,23052731.0,6786361.0
2025-02-22,298370733.0,51131696.0,25136749.0,23601794.0,6786361.0
2025-02-23,298596718.0,60926555.0,25130063.0,25259148.0,6793147.0
2025-02-24,298780611.0,60005588.0,25240270.0,25506889.0,6780891.0
2025-02-25,301610662.0,62818437.0,25357123.0,25580610.0,6783218.0
2025-02-26,301570544.0,62445421.0,25427235.0,25597876.0,6781406.0
2025-02-27,301723523.0,65136972.0,25450606.0,25596065.0,6779764.0
2025-02-28,302086016.0,64300422.0,25427235.0,25646569.0,6782173.0
2025-03-01,302717410.0,69808438.0,25380494.0,25607848.0,6782228.0
2025-03-02,302882438.0,69903129.0,25590610.0,25609564.0,6786361.0
2025-03-03,303526008.0,70061167.0,25566715.0,25601959.0,6779255.0
2025-03-04,304944848.0,68414843.0,25403125.0,25584847.0,6784033.0
2025-03-05,305594466.0,68414535.0,25286267.0,25585910.0,6778312.0
2025-03-06,305789359.0,68137395.0,25358299.0,25634825.0,6786361.0
2025-03-07,306021265.0,68138285.0,25545445.0,25635115.0,6780531.0
2025-03-08,306356330.0,68500774.0,25294415.0,25635756.0,6786361.0
2025-03-09,324038129.0,51328473.0,25645179.0,25775791.0,6773344.0
2025-03-10,323915248.0,51237621.0,25621759.0,25837350.0,6781468.0
2025-03-11,325037234.0,53145247.0,25504658.0,25670959.0,6784107.0
2025-03-12,325479002.0,54541029.0,25574918.0,25592825.0,6784297.0
2025-03-13,325532381.0,68603307.0,25481237.0,26412801.0,6779330.0
2025-03-14,325759090.0,68703759.0,25481237.0,26415121.0,6785734.0
2025-03-15,327436285.0,67134042.0,25686124.0,26416249.0,6784356.0
2025-03-16,331424042.0,67380363.0,25719066.0,28181155.0,6779972.0
2025-03-17,331596317.0,67154798.0,25719066.0,28205015.0,6779945.0
2025-03-18,331474101.0,67010368.0,25648345.0,27917885.0,6786148.0
2025-03-19,331755731.0,66799621.0,25719066.0,28018777.0,6784818.0
2025-03-20,331818103.0,66735554.0,25719066.0,28015959.0,6778968.0
2025-03-21,335818466.0,58662571.0,25695492.0,28167539.0,6779633.0
2025-03-22,335977909.0,64348517.0,25600129.0,28004916.0,6780644.0
2025-03-23,336058332.0,64203140.0,25670847.0,28009781.0,6781472.0
2025-03-24,336100788.0,64217436.0,25694420.0,28063585.0,6782314.0
2025-03-25,336130771.0,64486575.0,25859430.0,28104388.0,6784784.0
2025-03-26,336357516.0,67075635.0,25844465.0,29087462.0,6784227.0
2025-03-27,336440523.0,71558630.0,25934175.0,29692348.0,6781330.0
2025-03-28,336327449.0,71583273.0,25957838.0,29694415.0,6780515.0
2025-03-29,340707266.0,69156678.0,25934175.0,30236086.0,6781723.0
2025-03-30,341723051.0,66217791.0,26028826.0,30233581.0,6782110.0
2025-03-31,341749342.0,65687897.0,26259953.0,30581562.0,6782151.0
2025-04-01,342775852.0,64442236.0,26031144.0,30718336.0,6781045.0
2025-04-02,342813874.0,64609092.0,26291692.0,30744735.0,6785693.0
2025-04-03,343458357.0,63722828.0,26054830.0,30759108.0,6780190.0
2025-04-04,343482409.0,65672764.0,26054830.0,30782502.0,6780352.0
2025-04-05,343472163.0,71764826.0,26054828.0,30774146.0,6781330.0
2025-04-06,343348804.0,71736200.0,25983766.0,30795420.0,6780936.0
2025-04-07,349225310.0,70710195.0,25889005.0,30798312.0,6780149.0
2025-04-08,349122458.0,70702019.0,26291670.0,30870607.0,6779816.0
2025-04-09,349464293.0,71233989.0,25675829.0,30867074.0,6782280.0
2025-04-10,349351380.0,75471176.0,25850342.0,30847588.0,6782164.0
2025-04-11,349508056.0,73348365.0,25921095.0,30846012.0,6786820.0
2025-04-12,349614350.0,73448461.0,26063259.0,30853866.0,6793607.0
2025-04-13,349558256.0,73425459.0,26063259.0,30851549.0,6786820.0
2025-04-14,349632724.0,73799296.0,26300197.0,30847397.0,6781377.0
2025-04-15,349651710.0,73961018.0,25826320.0,30853463.0,6782667.0
2025-04-16,349781500.0,74022051.0,26300194.0,30933556.0,6782836.0
2025-04-17,349785493.0,73139746.0,25897399.0,30928457.0,6784641.0
2025-04-18,349831913.0,73261882.0,25848920.0,30947331.0,6782504.0
2025-04-19,349828062.0,73251591.0,26062154.0,30956670.0,6780983.0
