date,all_exchange,binance,bybit,okx,deribit,kraken,others
2026-07-29,21567663709.409096,7804894637.155,3951461648.355,2375645423.4144263,741591260.0,3400313.0,6690670427.484669
2026-07-30,22433005284.571808,8010668748.1868,4139189072.0576,2469760368.739293,729781070.0,3429180.0,7080176845.588116
2026-07-31,22247127792.426075,8045734329.7547,4114240724.6485,2464173564.7624626,729758410.0,3401273.0,6889819490.260412
2026-08-01,22170121766.325603,7973502126.4195,4158953070.71,2447451380.413673,732300560.0,3419246.0,6854495382.782429
2026-08-02,22268636641.77705,8089180621.8532,4164022294.6963,2437578571.957647,724920740.0,3455281.0,6849479132.269903
2026-08-03,22106571390.88465,8040835893.7642,4119898664.2904,2442204754.3034363,736094770.0,3531060.0,6764006248.526615
2026-08-04,22454781140.842842,8078431628.1098,4228322109.3059998,2406823006.8987064,714301480.0,3540625.0,7023362291.528336
2026-08-05,22869615569.432877,8001612311.174399,4371009727.7728,2487945542.483193,730125660.0,3525764.0,7275396564.002483
2026-08-06,22284417038.68157,7864857468.2152,4301131744.444799,2504058730.036703,725322120.0,3517072.0,6885529903.984865
2026-08-07,22668142700.6087,8011605100.366,4319830457.8633,2504007064.0875063,718369880.0,3518067.0,7110812131.291893
2026-08-08,22717532258.572758,8039087233.477,4349155508.9175,2465022737.170463,714347000.0,3498066.0,7146421713.007793
2026-08-09,22628783481.5728,8005593157.6953,4336780502.279,2525447283.3810434,705832060.0,3509380.0,7051621098.217457
2026-08-10,22306953372.14712,7834416743.382,4201341298.2152004,2500596136.506073,706329920.0,3492678.0,7060776596.043848
2026-08-11,22580196618.77843,8047129422.072299,4266682297.92,2518010983.353613,713705560.0,3465972.0,7031202383.43252
2026-08-12,22815426974.08266,8152671678.2,4329926872.1119995,2567952980.424613,716515470.0,3504835.0,7044855138.346046
2026-08-13,22366082554.653503,8065965232.3456,4324298577.9883,2499643155.513646,731745310.0,3533030.0,6740897248.805958
2026-08-14,23113636412.38682,8191297540.6845,4654695620.6544,2614201884.8371525,714940430.0,3530186.0,6934970750.21077
2026-08-15,22961808751.33752,8173865423.4845,4604707260.8526,2574899262.308333,725040300.0,3528741.0,6879767763.692087
2026-08-16,22820282520.368153,8111377013.7881,4549897732.7976,2572956856.1224127,733659800.0,3514367.0,6848876750.660038
2026-08-17,22885082042.843956,7959380509.582,4525966676.3488,2549737992.589773,733344290.0,3515880.0,7113136694.323383
2026-08-18,22918635358.146603,7967308332.950601,4542411639.5,2557580158.222013,739139580.0,3486545.0,7108709102.4739895
2026-08-19,23670534463.86943,8499114220.006199,4465686326.791,2607337456.952597,818206560.0,3390152.0,7276799748.119635
2026-08-20,24455636313.79067,8924204270.6976,4504466168.892,2675849289.5773473,824522460.0,3371955.0,7523222169.623722
2026-08-21,25180822029.950607,9405634315.2934,4345328563.232,2793431399.7206078,924705420.0,3411876.0,7708310455.704597
2026-08-22,24781125703.813194,9272627577.672499,4218328440.464,2755033058.896008,904132340.0,3441754.0,7627562532.780687
2026-08-23,24866787658.605206,9324366442.532001,4218573969.6622,2748116886.693758,896077950.0,3416747.0,7676235662.717243
2026-08-24,25323714681.52113,9536603040.753399,4272742570.0302,2781655087.7472076,937177900.0,3479569.0,7792056513.990322
2026-08-25,24966478125.4191,9426649922.696,4204675142.032,2740822159.4361677,939274040.0,3455435.0,7651601426.254936
2026-08-26,24997050323.020515,9388667433.810001,4273624870.9416,2754020636.918538,892371480.0,3457377.0,7684908524.350376
2026-08-27,25573438248.145176,9737449975.5187,4379175282.1748,2687963917.65132,1006129670.0,3464671.0,7759254731.800358
2026-08-28,24782983190.841022,9322521772.6168,4334332562.414499,2735298971.636818,882479300.0,3602784.0,7504747800.172905
2026-08-29,25077775137.401672,9533841613.341301,4384751220.9144,2691730182.825888,890051330.0,3577307.0,7573823483.320084
2026-08-30,24509242126.17757,9372013689.2844,4275076819.0680003,2529725956.3260875,922308800.0,3581195.0,7406535666.499081
2026-08-31,25351944692.549454,9631422539.26,4639483659.4468,2631955975.9705076,905155040.0,3536191.0,7540391286.872147
2026-09-01,25193733902.66761,9562979503.5928,4721243051.1,2644487105.418738,869581150.0,3518719.0,7391924373.556072
2026-09-02,25252463002.4028,9484032160.5225,4776273343.25,2728975630.4398875,864068320.0,3217458.0,7395896090.190414
2026-09-03,27527342707.46106,10225395878.0275,5269642023.2890005,2905343082.7548,948542170.0,2635269.0,8175784284.389759
2026-09-04,25893085453.76998,9720833589.193901,4887682539.578,2685336485.808968,853050110.0,2635088.0,7743547641.189114
2026-09-05,25637216843.295334,9619871539.6026,4837623911.5296,2645738296.2151403,851010830.0,2619497.0,7680352768.947994
2026-09-06,25466486967.32585,9626942332.6205,4830558832.2544,2569477141.86314,861989010.0,2615612.0,7574904038.5878105
2026-09-07,25567125103.701664,9607014540.7737,4799177641.6515,2621052466.527688,853343900.0,2383846.0,7684152708.7487755
2026-09-08,25889271378.38552,9529717359.2634,4890265947.3656,2648774328.430048,855181900.0,2169949.0,7963161894.326477
2026-09-09,25662772845.31016,9398311392.5335,4861481342.7817,2544842439.675008,857765450.0,2172854.0,7998199366.319954
2026-09-10,25829212675.3148,9388246822.630001,4797748500.205501,2712018890.4039474,851749190.0,2284662.0,8077164610.075352
2026-09-11,25007200002.860245,9189673546.3979,4524965620.1565,2590697655.8514376,829951230.0,2238351.0,7869673599.454407
2026-09-12,25087984107.92482,9187399787.9744,4585396547.968,2623060810.7563276,821010180.0,2238423.0,7868878358.226093
2026-09-13,25212120746.520123,9285434900.7436,4566375462.052799,2643348660.9240274,823553990.0,2273066.0,7891134666.799694
2026-09-14,25252185361.814278,9288587754.227299,4684329854.934999,2561403342.435288,813466000.0,2222071.0,7902176339.21669
2026-09-15,25315512334.66581,9365762614.010899,4718016326.2558,2592767236.777878,828887980.0,2330819.0,7807747358.621231
2026-09-16,25380330671.98864,9434344755.094799,4698214921.195,2648300861.957197,795197930.0,2325601.0,7801946602.741646
2026-09-17,25563268947.520336,9491804658.886799,4699416716.9313,2692331325.0891175,767686550.0,2322037.0,7909707659.613117
2026-09-18,27148248522.06789,9884696459.496801,5175245060.902,2954811679.9045777,788950530.0,2235415.0,8342309376.764511
2026-09-19,27131893756.968582,9915679955.818,5074245526.832,2967708534.6461983,787134210.0,2119078.0,8385006451.672382
