date,Commodities,Equity Indices,Equities,Pre-IPO & Specials,ETFs,FX
2026-05-04,1.981903,0.652511,0.425527,0.007353,0.011096,0.010848
2026-05-05,1.254144,0.429462,0.506333,0.006663,0.009532,0.009448
2026-05-06,2.297992,0.554356,0.522066,0.010588,0.015545,0.01133
2026-05-07,2.274927,0.601216,0.533884,0.007078,0.018161,0.005822
2026-05-08,1.184274,0.489533,0.543302,0.010272,0.021988,0.004761
2026-05-09,0.139761,0.065702,0.064635,0.006629,0.003426,0.000406
2026-05-10,0.449462,0.194597,0.118468,0.006499,0.006454,0.002664
2026-05-11,1.186486,0.372504,0.758367,0.027655,0.028019,0.004445
2026-05-12,1.007823,0.52429,0.704485,0.017293,0.027217,0.003998
2026-05-13,0.977075,0.553693,0.607685,0.019599,0.017605,0.011371
2026-05-14,0.90863,0.680002,0.961731,0.013845,0.014614,0.007892
2026-05-15,0.904676,0.945556,0.842931,0.030144,0.027322,0.010009
2026-05-16,0.143318,0.063504,0.06421,0.003726,0.001959,0.000843
2026-05-17,0.205436,0.139707,0.081196,0.007912,0.005835,0.001093
2026-05-18,1.283936,1.064435,0.789934,0.072785,0.033966,0.00369
2026-05-19,0.98345,0.758975,0.842846,0.026244,0.025093,0.00527
2026-05-20,1.219963,0.788644,0.804782,0.028127,0.035647,0.003734
2026-05-21,1.597012,0.606725,0.734026,0.070706,0.021379,0.003691
2026-05-22,1.032239,0.51148,0.543476,0.041348,0.008312,0.002625
2026-05-23,0.743226,0.282901,0.129513,0.019774,0.008659,0.001172
2026-05-24,0.584194,0.163785,0.083453,0.025485,0.010805,0.001236
2026-05-25,0.750753,0.367106,0.108593,0.00779,0.006226,0.002129
2026-05-26,0.721233,0.504818,0.729227,0.043374,0.024351,0.003226
2026-05-27,1.048342,0.598217,1.039981,0.053388,0.028684,0.003723
2026-05-28,0.972956,0.531188,0.780031,0.053694,0.028489,0.004212
2026-05-29,0.938734,0.438323,0.715284,0.048367,0.011816,0.002697
2026-05-30,0.098283,0.08334,0.100945,0.015447,0.002385,0.000377
2026-05-31,0.175166,0.154399,0.153813,0.013916,0.005391,0.001548
2026-06-01,1.065553,0.581096,0.958707,0.077326,0.030789,0.003078
2026-06-02,0.706615,0.587361,1.100208,0.057794,0.024918,0.00683
2026-06-03,0.734301,0.634501,1.244375,0.09242,0.015874,0.003121
2026-06-04,0.607244,1.140087,1.077091,0.141869,0.020575,0.00366
2026-06-05,0.791001,1.904335,1.266426,0.105776,0.042999,0.006823
2026-06-06,0.164944,0.25178,0.319859,0.022469,0.008627,0.008162
2026-06-07,0.477175,0.344074,0.327298,0.033045,0.016188,0.00309
2026-06-08,0.902047,1.482571,1.058232,0.135695,0.038345,0.003508
2026-06-09,1.044241,1.99998,1.433881,0.119492,0.043975,0.002803
2026-06-10,1.294214,1.97249,1.045474,0.108506,0.036215,0.003415
2026-06-11,1.52576,1.466907,1.112176,0.169391,0.035172,0.004013
2026-06-12,1.029259,1.130765,2.289174,0.039186,0.019716,0.004158
2026-06-13,0.14063,0.166999,0.16935,0.006273,0.004386,0.001279
2026-06-14,0.529281,0.349393,0.248927,0.013518,0.010428,0.003675
2026-06-15,0.476493,1.182134,1.410151,0.036777,0.01605,0.004836
2026-06-16,0.521077,0.849606,2.448177,0.061398,0.019191,0.00488
2026-06-17,0.719922,1.020548,1.802488,0.067596,0.024047,0.007833
2026-06-18,0.477318,0.880429,1.963176,0.083873,0.020211,0.008733
2026-06-19,0.335413,0.281391,0.522706,0.031194,0.014369,0.006732
2026-06-20,0.143619,0.072066,0.184702,0.020112,0.006918,0.00156
2026-06-21,0.305027,0.158008,0.219277,0.022773,0.007406,0.002078
2026-06-22,0.487531,0.749202,2.049427,0.137325,0.023616,0.028748
2026-06-23,0.502735,1.218477,2.874742,0.21341,0.052369,0.014349
2026-06-24,0.59985,1.094018,2.184633,0.2111,0.063501,0.008495
2026-06-25,0.546672,0.908011,2.038817,0.21209,0.030582,0.00606
2026-06-26,0.564879,1.018022,1.787795,0.169332,0.032002,0.006476
2026-06-27,0.108079,0.077144,0.156532,0.019999,0.003848,0.001308
2026-06-28,0.219752,0.195635,0.262999,0.039048,0.009916,0.001737
2026-06-29,0.317293,0.860349,1.832139,0.188753,0.022884,0.031
2026-06-30,0.362533,0.594649,1.449252,0.107426,0.019532,0.01187
