week_start,pokemon_packs,one_piece_packs,sports_packs,riftbound_packs,sealed_packs,anime_packs,comic_book_packs,watches_packs,dragon_ball_packs,packs_credit_card,launchpad,marketplace_royalties
2025-12-07,9.35,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-14,14.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-28,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-11,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-18,13.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-25,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-01,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-08,5.96,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2026-02-15,6.12,1.61,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2026-02-22,5.64,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2026-03-01,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
2026-03-15,13.38,0.21,0.27,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.38
2026-03-22,18.69,1.93,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2026-03-29,11.76,2.1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2026-04-05,13.05,2.1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2026-04-12,14.83,1.93,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2026-04-19,14.67,1.61,0.32,0.0,0.0,0.61,0.16,0.0,0.0,0.0,0.0,0.16
2026-04-26,23.37,1.29,0.32,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.34,0.16
2026-05-03,18.53,2.42,0.48,0.0,0.0,0.28,0.16,0.0,0.0,0.0,0.0,0.43
2026-05-10,14.5,2.04,0.81,0.0,2.42,0.28,0.0,0.0,0.0,0.0,0.4,0.43
2026-05-17,10.31,2.26,0.32,0.0,0.97,0.61,0.0,0.0,0.0,0.0,0.18,0.32
2026-05-24,21.11,3.71,0.81,0.0,0.64,0.61,0.0,0.0,0.0,0.0,0.0,0.43
2026-05-31,19.82,3.55,0.32,0.0,0.32,0.44,0.0,0.0,0.0,0.0,0.51,0.32
2026-06-07,21.76,3.06,0.48,0.0,0.16,0.61,0.16,0.0,0.0,0.0,0.51,0.32
2026-06-14,35.13,8.0,0.48,0.0,0.0,0.77,0.0,0.0,0.0,0.32,0.18,0.38
2026-06-21,55.12,8.06,0.64,0.0,0.0,0.61,0.0,0.16,0.0,0.32,0.0,0.48
2026-06-28,49.32,7.57,1.45,0.0,0.0,0.93,0.0,0.0,0.0,0.32,0.0,0.32
2026-07-05,23.21,7.84,0.64,0.0,0.0,0.61,0.0,0.0,0.0,0.16,0.0,0.38
2026-07-12,26.91,6.12,0.64,0.0,0.0,0.77,0.32,0.0,0.0,0.0,0.0,0.48
2026-07-19,35.62,4.35,0.48,0.0,0.0,0.0,0.16,0.0,0.0,0.32,0.0,0.32
2026-07-26,29.01,4.83,1.4,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.18,0.48
2026-08-02,26.59,3.22,0.97,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.24,0.38
2026-08-09,33.84,3.38,2.42,0.0,0.0,0.23,0.21,0.0,0.0,0.0,0.18,0.32
2026-08-16,21.11,3.06,1.13,0.0,0.0,0.0,0.16,1.77,0.0,0.48,0.0,0.64
2026-08-23,18.37,2.36,1.13,0.0,0.0,0.0,0.0,2.58,0.0,0.16,0.0,0.59
2026-08-30,16.28,6.61,0.81,0.0,0.0,0.0,0.0,4.19,0.0,0.32,0.0,0.48
2026-09-06,14.83,1.93,0.64,0.0,0.0,0.0,0.16,1.93,0.0,0.0,0.0,0.64
2026-09-13,22.24,2.26,2.1,4.03,0.0,0.0,0.0,2.42,0.97,0.32,0.51,0.16
