date,blockchain,daily_mint,daily_redeem,cumulative_mint,cumulative_redeem,cumulative_net_supply
2025-12-07 00:00:00.000 UTC,avalanche,1711000,-53900,86355036,-21446839.718171578,64908196.28182842
2025-12-08 00:00:00.000 UTC,polygon,6174476,-6140324,298069536,-166980115.84279034,131089420.15720966
2025-12-08 00:00:00.000 UTC,avalanche,5073910,-2008000,91428946,-23454839.718171578,67974106.28182842
2025-12-08 00:00:00.000 UTC,ethereum,2000000,-3000,63000000,-14148045,48851955
2025-12-09 00:00:00.000 UTC,avalanche,2695000,-43599,94123946,-23498438.718171578,70625507.28182842
2025-12-09 00:00:00.000 UTC,ethereum,2000000,-350000,65000000,-14498045,50501955
2025-12-09 00:00:00.000 UTC,polygon,5052150,-755147,303121686,-167735262.84279034,135386423.15720966
2025-12-10 00:00:00.000 UTC,ethereum,3000000,-1000000,68000000,-15498045,52501955
2025-12-10 00:00:00.000 UTC,polygon,7298000,-3402169,310419686,-171137431.84279034,139282254.15720966
2025-12-10 00:00:00.000 UTC,avalanche,2972000,-1085124,97095946,-24583562.718171578,72512383.28182842
2025-12-11 00:00:00.000 UTC,polygon,7031080,-5108433.002600133,317450766,-176245864.84539047,141204901.15460953
2025-12-11 00:00:00.000 UTC,avalanche,1429000,-1018000,98524946,-25601562.718171578,72923383.28182842
2025-12-11 00:00:00.000 UTC,ethereum,1000000,-592097,69000000,-16090142,52909858
2025-12-12 00:00:00.000 UTC,avalanche,3859000,-1034216,102383946,-26635778.718171578,75748167.28182842
2025-12-12 00:00:00.000 UTC,ethereum,2000000,-358000,71000000,-16448142,54551858
2025-12-12 00:00:00.000 UTC,polygon,8085265,-3885456,325536031,-180131320.84539047,145404710.15460953
2025-12-13 00:00:00.000 UTC,ethereum,1000000,-70000,72000000,-16518142,55481858
2025-12-13 00:00:00.000 UTC,polygon,4215550,-2076000,329751581,-182207320.84539047,147544260.15460953
2025-12-13 00:00:00.000 UTC,avalanche,36000,-20000,102419946,-26655778.718171578,75764167.28182842
