time,fundingRate,close
2026-07-11 16:00:00+00:00,-1.81593e-05,1475.5
2026-07-11 17:00:00+00:00,6.25e-06,1476.7
2026-07-11 18:00:00+00:00,1.94079e-05,1477.2
2026-07-11 19:00:00+00:00,6.25e-06,1481.6
2026-07-11 20:00:00+00:00,4.46614e-05,1480.8
2026-07-11 21:00:00+00:00,6.25e-06,1480.4
2026-07-11 22:00:00+00:00,-1.52797e-05,1472.2
2026-07-11 23:00:00+00:00,-4.22921e-05,1469.5
2026-07-12 00:00:00+00:00,-0.0001469248,1467.9
2026-07-12 01:00:00+00:00,6.25e-06,1467.2
2026-07-12 02:00:00+00:00,-3.84813e-05,1468.5
2026-07-12 03:00:00+00:00,6.25e-06,1471.9
2026-07-12 04:00:00+00:00,7.49339e-05,1472.4
2026-07-12 05:00:00+00:00,6.6245e-06,1469.1
2026-07-12 06:00:00+00:00,-1.61467e-05,1469.0
2026-07-12 07:00:00+00:00,-3.66885e-05,1469.0
2026-07-12 08:00:00+00:00,6.25e-06,1474.2
2026-07-12 09:00:00+00:00,4.76646e-05,1474.6
2026-07-12 10:00:00+00:00,5.10367e-05,1476.0
2026-07-12 11:00:00+00:00,6.25e-06,1477.6
2026-07-12 12:00:00+00:00,3.49769e-05,1475.0
2026-07-12 13:00:00+00:00,-4.8304e-06,1476.1
2026-07-12 14:00:00+00:00,6.25e-06,1475.8
2026-07-12 15:00:00+00:00,6.25e-06,1477.7
2026-07-12 16:00:00+00:00,6.25e-06,1481.4
2026-07-12 17:00:00+00:00,4.67011e-05,1482.9
2026-07-12 18:00:00+00:00,2.37594e-05,1485.1
2026-07-12 19:00:00+00:00,9.87935e-05,1490.1
2026-07-12 20:00:00+00:00,6.48985e-05,1490.1
2026-07-12 21:00:00+00:00,6.25e-06,1489.0
2026-07-12 22:00:00+00:00,-1.42709e-05,1483.5
2026-07-12 23:00:00+00:00,-0.000187844,1415.0
2026-07-13 00:00:00+00:00,0.0005533987,1349.9
2026-07-13 01:00:00+00:00,0.0003737533,1314.5
2026-07-13 02:00:00+00:00,0.0003517958,1290.7
2026-07-13 03:00:00+00:00,0.0005338034,1281.3
2026-07-13 04:00:00+00:00,0.0007210528,1272.1
2026-07-13 05:00:00+00:00,0.0009643912,1273.8
2026-07-13 06:00:00+00:00,0.0007845473,1241.8
2026-07-13 07:00:00+00:00,0.0010211296,1230.2
2026-07-13 08:00:00+00:00,0.0009218144,1245.9
