date,Ethereum,Solana,Polygon,Optimism,Avalanche C-Chain,BNB Chain,Arbitrum,Aptos,Tempo
2024-06-10,462270228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,462270228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,462270228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,467270228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,462722165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,462722165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-16,462722165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,462722165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,462722165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,462722165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,481422165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,481422165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-22,481422165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-23,481422165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,481422165.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,479455787.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,481811326.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-27,481811326.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,483311326.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-29,483311326.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,483311326.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,486460738.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,486460738.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,486460738.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,486460738.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,491830738.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-06,491830738.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-07,491830738.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,502811704.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-09,502811704.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,503667778.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11,523667778.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,524867778.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-13,524867778.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-14,524867778.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,528867778.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,517867778.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17,519309780.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,519309780.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,526832780.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,526832780.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,526832780.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,527644665.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,527644665.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,527644665.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-25,508470519.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26,508470519.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
