time,fundingRate,close
2026-07-11 17:00:00+00:00,3.2631e-06,169.88
2026-07-11 18:00:00+00:00,6.25e-06,171.01
2026-07-11 19:00:00+00:00,8.26209e-05,171.19
2026-07-11 20:00:00+00:00,9.113e-05,171.66
2026-07-11 21:00:00+00:00,8.62947e-05,171.69
2026-07-11 22:00:00+00:00,6.25e-06,171.44
2026-07-11 23:00:00+00:00,4.90038e-05,171.12
2026-07-12 00:00:00+00:00,-8.99991e-05,171.89
2026-07-12 01:00:00+00:00,0.0001136158,171.91
2026-07-12 02:00:00+00:00,6.25e-06,171.79
2026-07-12 03:00:00+00:00,6.25e-06,171.48
2026-07-12 04:00:00+00:00,-2.65488e-05,172.16
2026-07-12 05:00:00+00:00,6.5083e-05,171.97
2026-07-12 06:00:00+00:00,6.25e-06,172.44
2026-07-12 07:00:00+00:00,6.25e-06,172.02
2026-07-12 08:00:00+00:00,6.25e-06,171.99
2026-07-12 09:00:00+00:00,-1.1917e-06,171.34
2026-07-12 10:00:00+00:00,-5.82146e-05,171.28
2026-07-12 11:00:00+00:00,-3.17842e-05,171.39
2026-07-12 12:00:00+00:00,6.25e-06,171.23
2026-07-12 13:00:00+00:00,-2.5843e-06,171.3
2026-07-12 14:00:00+00:00,5.071e-07,171.17
2026-07-12 15:00:00+00:00,6.25e-06,170.99
2026-07-12 16:00:00+00:00,-1.9691e-05,170.85
2026-07-12 17:00:00+00:00,-1.09044e-05,170.68
2026-07-12 18:00:00+00:00,-1.016e-07,170.57
2026-07-12 19:00:00+00:00,-1.32011e-05,170.67
2026-07-12 20:00:00+00:00,6.25e-06,170.39
2026-07-12 21:00:00+00:00,-2.29928e-05,170.62
2026-07-12 22:00:00+00:00,6.25e-06,170.63
2026-07-12 23:00:00+00:00,-8.24164e-05,167.15
2026-07-13 00:00:00+00:00,-0.0002937807,163.66
2026-07-13 01:00:00+00:00,-0.0004939433,161.11
2026-07-13 02:00:00+00:00,-0.0006537223,160.53
2026-07-13 03:00:00+00:00,-1.24108e-05,159.03
2026-07-13 04:00:00+00:00,-0.0004646124,158.12
2026-07-13 05:00:00+00:00,-0.0001927888,157.82
2026-07-13 06:00:00+00:00,-0.0001046078,157.49
2026-07-13 07:00:00+00:00,-0.0001496207,152.47
2026-07-13 08:00:00+00:00,-0.0004267377,151.79
2026-07-13 09:00:00+00:00,-2.88682e-05,154.6
2026-07-13 10:00:00+00:00,-2.95333e-05,154.55
2026-07-13 11:00:00+00:00,-4.01106e-05,153.54
2026-07-13 12:00:00+00:00,-4.1519e-06,152.85
2026-07-13 13:00:00+00:00,6.25e-06,156.77
2026-07-13 14:00:00+00:00,-3.56424e-05,157.02
2026-07-13 15:00:00+00:00,-6.24033e-05,152.97
2026-07-13 16:00:00+00:00,-1.11932e-05,155.08
2026-07-13 17:00:00+00:00,-6.65703e-05,156.81
2026-07-13 18:00:00+00:00,-9.74982e-05,153.5
2026-07-13 19:00:00+00:00,-9.19872e-05,153.31
2026-07-13 20:00:00+00:00,-2.90683e-05,152.45
2026-07-13 21:00:00+00:00,5.0153e-06,152.29
2026-07-13 22:00:00+00:00,6.25e-06,152.51
2026-07-13 23:00:00+00:00,6.25e-06,152.66
2026-07-14 00:00:00+00:00,6.25e-06,158.49
2026-07-14 01:00:00+00:00,6.25e-06,155.18
2026-07-14 02:00:00+00:00,-3.36277e-05,152.68
2026-07-14 03:00:00+00:00,-0.0001120457,153.56
2026-07-14 04:00:00+00:00,-0.000210159,159.23
2026-07-14 05:00:00+00:00,-0.0001869588,161.27
2026-07-14 06:00:00+00:00,-0.0002848394,162.96
2026-07-14 07:00:00+00:00,-0.0002192629,162.38
2026-07-14 08:00:00+00:00,-0.0001074411,162.1
2026-07-14 09:00:00+00:00,-3.43359e-05,162.28
2026-07-14 10:00:00+00:00,-4.36708e-05,162.92
2026-07-14 11:00:00+00:00,-3.69241e-05,162.25
2026-07-14 12:00:00+00:00,-5.16899e-05,164.28
2026-07-14 13:00:00+00:00,-3.27175e-05,170.26
2026-07-14 14:00:00+00:00,-3.56463e-05,174.55
2026-07-14 15:00:00+00:00,-6.10553e-05,178.31
2026-07-14 16:00:00+00:00,-7.13932e-05,182.31
2026-07-14 17:00:00+00:00,-7.87372e-05,183.66
2026-07-14 18:00:00+00:00,-7.84421e-05,186.34
2026-07-14 19:00:00+00:00,-6.18801e-05,193.6
2026-07-14 20:00:00+00:00,-6.10828e-05,189.09
2026-07-14 21:00:00+00:00,-8.54585e-05,182.48
2026-07-14 22:00:00+00:00,-6.92557e-05,186.25
2026-07-14 23:00:00+00:00,-5.54447e-05,185.83
2026-07-15 00:00:00+00:00,-4.426e-05,191.72
2026-07-15 01:00:00+00:00,-6.01693e-05,188.64
2026-07-15 02:00:00+00:00,-5.52911e-05,187.55
2026-07-15 03:00:00+00:00,-5.36804e-05,190.56
2026-07-15 04:00:00+00:00,-3.39624e-05,189.59
2026-07-15 05:00:00+00:00,-6.61152e-05,187.51
2026-07-15 06:00:00+00:00,-5.4063e-05,187.14
2026-07-15 07:00:00+00:00,-7.42061e-05,184.77
2026-07-15 08:00:00+00:00,-7.04276e-05,182.47
2026-07-15 09:00:00+00:00,-4.19484e-05,181.07
2026-07-15 10:00:00+00:00,-2.36202e-05,182.02
2026-07-15 11:00:00+00:00,-2.79192e-05,181.98
2026-07-15 12:00:00+00:00,-2.01664e-05,178.99
2026-07-15 13:00:00+00:00,-1.0863e-05,183.73
2026-07-15 14:00:00+00:00,-1.60841e-05,174.65
2026-07-15 15:00:00+00:00,-1.58374e-05,171.06
2026-07-15 16:00:00+00:00,-7.212e-07,172.8
2026-07-15 17:00:00+00:00,5.759e-07,175.72
2026-07-15 18:00:00+00:00,-2.83592e-05,175.37
2026-07-15 19:00:00+00:00,-5.08151e-05,176.34
2026-07-15 20:00:00+00:00,-3.02402e-05,173.92
2026-07-15 21:00:00+00:00,-3.14978e-05,173.02
2026-07-15 22:00:00+00:00,-3.41526e-05,171.37
2026-07-15 23:00:00+00:00,-2.38864e-05,169.8
