,Ethereum,Solana,Base,BSC,Tron,Others
2021-06-13,69.48410932762918,0.6864978803983882,0.0,12.231996760895777,2.6726540831365315,14.924741947940117
2021-06-20,68.16602584191756,0.6005532211954963,0.0,12.636885107664208,2.284386765699599,16.312149063523144
2021-06-27,67.78010678656088,0.5931816186248097,0.0,13.275404068628914,2.320611778090446,16.030695748094953
2021-07-04,67.85973440131812,0.7899774386132502,0.0,13.23659753959738,2.3767695190667806,15.736921101404468
2021-07-11,67.68373576906731,0.9983858884353518,0.0,13.18303028511936,2.169148937520269,15.965699119857707
2021-07-18,67.47780758818907,1.007667958612599,0.0,13.19555337721681,2.1313384228816794,16.187632653099847
2021-07-25,67.82099652301324,1.1265114852944689,0.0,12.761751842819226,2.0397326097169093,16.251007539156166
2021-08-01,67.47278519231965,1.2219172750649034,0.0,12.980070596530437,2.539425021807072,15.785801914277936
2021-08-08,68.34026101861495,1.3126707672228248,0.0,12.271718569807065,2.756057935211449,15.31929170914371
2021-08-15,68.56540658506152,1.3198797701482603,0.0,12.319966953262439,2.9493838194526654,14.845362872075114
2021-08-22,67.03239781060383,1.8130310721917535,0.0,12.627710540613947,3.0443728445546303,15.48248773203584
2021-08-29,66.34561514021523,2.006174821107469,0.0,12.90425685681919,2.913935715254062,15.830017466604053
2021-09-05,66.53926834963951,2.4177283237043548,0.0,11.933459746747786,2.8737338570377307,16.23580972287062
2021-09-12,65.02953844398914,4.490859247893993,0.0,10.957804767811243,2.883795904734782,16.63800163557084
2021-09-19,63.432676085542276,5.431484080641994,0.0,10.606483770779647,3.184522844771578,17.344833218264505
2021-09-26,62.85126358855331,5.20543367946704,0.0,10.260756978856646,3.028887198451787,18.65365855467122
2021-10-03,62.564250948479845,5.535078302551766,0.0,9.982545226046343,2.828393372172656,19.0897321507494
2021-10-10,61.8175499597423,5.101792349105542,0.0,9.715030741164025,2.736700686168596,20.628926263819533
2021-10-17,60.55903640551009,5.220652003601862,0.0,9.626392154352,2.6430406996770635,21.95087873685898
2021-10-24,61.45399771736266,5.096491862788598,0.0,9.616651845448613,2.538032255844198,21.29482631855593
2021-10-31,61.127230062721885,5.141718414554935,0.0,9.406578436167123,2.451135642216232,21.87333744433982
2021-11-07,60.33581791033203,5.555476242085073,0.0,9.209812203573552,3.694178814478119,21.204714829531216
2021-11-14,60.440882414999166,5.546204269649945,0.0,8.983053792473902,3.675906226191457,21.353953296685535
2021-11-21,60.05304646485977,5.310156927504129,0.0,8.840779519354099,3.8047245881179466,21.991292500164068
2021-11-28,59.43689017978829,4.95995445967281,0.0,8.495318056966202,3.6548978028574246,23.452939500715267
2021-12-05,59.01755863564371,4.807179045895737,0.0,8.237618790106035,3.502826975279587,24.43481655307493
2021-12-12,59.681572402782585,4.260385644066739,0.0,8.004018224326234,3.5273391286345066,24.52668460018993
2021-12-19,59.133349072218834,4.217309563301554,0.0,8.250308553558071,3.5284852814061125,24.870547529515427
2021-12-26,57.348183610431725,4.134409205423273,0.0,8.015129807745135,3.233195411153054,27.269081965246812
2022-01-02,56.95986519970664,4.053071873571954,0.0,7.861120138965817,3.230535475473079,27.89540731228251
2022-01-09,56.80664824112649,3.799548210051802,0.0,7.560255204420447,3.1068276044599044,28.726720739941356
2022-01-16,56.209445536432476,3.444665330727222,0.0,7.3676647492591,3.0732703934007413,29.904953990180466
2022-01-23,55.53983390943268,3.5367808773942007,0.0,7.137800457566107,3.19263179008965,30.59295296551736
2022-01-30,54.336429051043794,3.4718194338800923,0.0,7.385822786679879,3.1668056917464833,31.639123036649757
2022-02-06,54.683896440657755,3.5097721669202393,0.0,7.348586211103686,3.1775414433617644,31.28020373795656
2022-02-13,54.70816112564625,3.383311341102251,0.0,7.224244621326029,3.2852713136532543,31.399011598272217
2022-02-20,54.456759691803185,3.28737180372782,0.0,7.122045019603354,3.2359135715919782,31.89790991327367
2022-02-27,53.08951514474396,3.240127913257093,0.0,7.04745262312003,3.23136582143384,33.39153849744508
2022-03-06,51.467474595646586,3.0395377030298563,0.0,6.899268354181149,3.0917136082083716,35.50200573893404
2022-03-13,51.07412224866299,3.0189766949680257,0.0,7.01868793134645,3.152120245672987,35.736092879349556
2022-03-20,50.72747999713912,3.009938731620611,0.0,6.950625924229643,3.0607997240556273,36.251155622955004
2022-03-27,51.059387405152755,2.7890101008064625,0.0,7.053260366075741,2.947738857553302,36.150603270411736
2022-04-03,50.188582466895404,2.79745011038646,0.0,7.195764819770558,2.9947631247664757,36.8234394781811
2022-04-10,49.939883940787944,2.8068043290179943,0.0,7.424888851001518,2.8577812583154723,36.97064162087707
2022-04-17,50.30147190955093,2.700769217471852,0.0,7.571763646932848,2.8387667756532027,36.58722845039116
2022-04-24,49.4401969495301,2.698049294011116,0.0,7.585527895625357,2.9082869146325363,37.3679389462009
2022-05-01,49.56866922831443,2.6713033124654517,0.0,7.666656781774449,2.949148082386528,37.14422259505915
2022-05-08,49.51281367990258,2.6486925390493243,0.0,7.626959747516227,3.4275098115427562,36.78402422198912
2022-05-15,54.81330083685957,2.968491694892037,0.0,8.795218184273017,4.852867221701118,28.570122062274265
2022-05-22,58.26474120488176,3.443949019815517,0.0,9.767776350481636,5.735372975024485,22.788160449796603
2022-05-29,57.770251589134986,3.318263028805156,0.0,10.06611009262278,7.384491186734422,21.460884102702654
2022-06-05,57.85821209491678,3.1667970913585437,0.0,9.742155242946072,8.007413802258926,21.225421768519677
2022-06-12,57.90600426303848,3.219259583161062,0.0,9.544875694138941,8.493983909412472,20.835876550249044
2022-06-19,57.375208977015596,3.2409005732288096,0.0,10.09265803741079,8.137560879182576,21.15367153316223
2022-06-26,57.237696099050105,3.1382640492642118,0.0,9.950316064324857,7.9605426847446354,21.713181102616186
2022-07-03,56.94948929424144,3.0698730386058206,0.0,10.151576902281603,8.115044658266893,21.71401610660425
2022-07-10,55.9698066675384,3.0220304268847173,0.0,10.212766664192054,10.042749118818568,20.752647122566266
2022-07-17,54.937575957649976,2.9970727457623902,0.0,10.14938483905724,10.892490627720838,21.023475829809552
2022-07-24,55.98622568443613,2.9395640055203285,0.0,9.956073543838215,10.230101596908373,20.888035169296955
2022-07-31,56.68034223975231,2.798024224341414,0.0,9.825057845538106,9.94041552438854,20.75616016597963
2022-08-07,57.19912432949781,2.6696545851407927,0.0,10.024999745783344,9.847338728156728,20.25888261142132
2022-08-14,57.43143442137443,2.485095938987624,0.0,10.029032004908858,9.56554298447791,20.48889465025118
2022-08-21,57.332329822590836,2.555174582197317,0.0,9.871751377088586,9.739769407321191,20.50097481080207
2022-08-28,56.17965058304372,2.5452760889069137,0.0,10.159444458971773,10.575674089071564,20.539954780006035
2022-09-04,56.53054500168407,2.4927815693204995,0.0,10.215381137016484,10.450062676973761,20.311229615005182
2022-09-11,56.89030061697021,2.463277475780807,0.0,10.34561149514177,10.223656429781212,20.077153982326013
2022-09-18,56.208972777668805,2.430802695523209,0.0,10.663424626998147,10.7664727269833,19.93032717282654
2022-09-25,55.42923703653745,2.4582832389443703,0.0,11.1210467948225,10.8414096886261,20.150023241069587
2022-10-02,55.95281228709485,2.4592519039003156,0.0,11.091708604427353,10.702527687822316,19.793699516755165
2022-10-09,56.1365481200142,2.4235945385673063,0.0,11.094303861109797,10.954812739882698,19.390740740426
2022-10-16,56.34421833364138,1.99668834653918,0.0,11.208607484924098,11.088523036534749,19.361962798360597
2022-10-23,56.55807975128304,1.746325282162612,0.0,11.305898338241828,10.963698356401705,19.42599827191081
2022-10-30,57.23504370398706,1.794819855288186,0.0,11.328015668019148,10.539533995597347,19.102586777108257
2022-11-06,57.15747247781691,1.8122565498959438,0.0,11.761886744110376,10.109592575440686,19.158791652736078
2022-11-13,56.673375606528,1.2035546437953546,0.0,12.576193310206415,10.580272190678823,18.966604248791413
2022-11-20,57.37352522486448,0.7595030655479507,0.0,12.86562838432394,10.556821197912708,18.444522127350915
2022-11-27,56.722442993136916,0.7135337560350018,0.0,13.50325379809365,10.911907145491645,18.148862307242783
2022-12-04,56.70771782938639,0.7151869581461897,0.0,13.524140796702657,10.969600280359304,18.08335413540546
2022-12-11,56.46132179174354,0.7135893099264271,0.0,13.563970751297814,11.05557857422397,18.20553957280825
2022-12-18,57.26858689562222,0.702564704156238,0.0,12.479474821971625,11.295752128220672,18.25362145002924
2022-12-25,57.823100522343665,0.6185300057491446,0.0,12.17129620045206,11.3343534462103,18.052719825244832
