date,coin,notional_usd
2026-06-06,RKLB,3052969.0505250003
2026-06-06,SILVER,12669027.444480002
2026-06-06,SKHX,4509005.4764250005
2026-06-06,SMSN,1924745.7092999998
2026-06-06,SNDK,13349923.8642
2026-06-06,SP500,105469736.36255
2026-06-06,SPCX,11573086.480200002
2026-06-06,TSLA,11088107.349599998
2026-06-06,TSM,8749546.03339
2026-06-06,URNM,173621.9888
2026-06-06,USAR,2015344.26266
2026-06-06,XLE,96875.146675
2026-06-06,XYZ100,146008124.1922
2026-06-06,ZM,599971.8061755
2026-06-07,AAPL,2619879.916005
2026-06-07,AMD,8395878.2317175
2026-06-07,AMZN,1693592.5664300001
2026-06-07,ARM,725581.5095000002
2026-06-07,ASML,274168.5201
2026-06-07,AVGO,914935.239
2026-06-07,BABA,256083.67614
2026-06-07,BB,6248287.32957
2026-06-07,BIRD,89792.53192
2026-06-07,BRENTOIL,132492476.41874999
2026-06-07,BX,987.270175
2026-06-07,CBRS,1802658.3497999997
2026-06-07,CL,250180631.6207165
2026-06-07,COIN,1985871.6435325001
2026-06-07,COPPER,5591614.2847065
2026-06-07,COST,661.475588
2026-06-07,CRCL,8555203.357514
2026-06-07,CRWV,3550958.4175500004
2026-06-07,DELL,344557.39955000003
2026-06-07,DKNG,1564.9491375
2026-06-07,DRAM,10734489.730800001
2026-06-07,EBAY,10317.090625
2026-06-07,EUR,1454037.1835500002
2026-06-07,EWJ,562795.1081235
2026-06-07,EWT,100607.67512500001
2026-06-07,EWY,15217979.019937498
2026-06-07,EWZ,183337.00699999998
2026-06-07,GBP,15890.956875000002
2026-06-07,GME,532289.3076175
2026-06-07,GOLD,14347673.679059999
2026-06-07,GOOGL,5105187.448399999
2026-06-07,HIMS,317907.573735
2026-06-07,HOOD,3204311.239811499
2026-06-07,HYUNDAI,1027241.1887700001
2026-06-07,IBM,266380.35985
2026-06-07,INTC,9461712.36435
2026-06-07,JP225,369897.98747
2026-06-07,JPY,1620377.5813999998
2026-06-07,KR200,338494.45587999996
2026-06-07,LITE,1364652.9940375
2026-06-07,LLY,1360473.8476500001
2026-06-07,META,1745688.3301025003
2026-06-07,MRVL,36978206.885249995
2026-06-07,MSFT,2034855.6976725
