blockchain,date,rev_usd,tps,spot_dex_volume_usd,circulating_stablecoin_supply_usd,median_fee_usd,color_code,title,rnk
arbitrum,2023-12-16T00:00:00+00:00,1182863.468873474,21.366727843915346,249355383.18079945,2235893081.467911,0.20984553653326415,#78c1db,Arbitrum,6
arbitrum,2023-12-15T00:00:00+00:00,2144887.479271898,14.103655753968255,274703721.4915232,2240778940.5152,0.2157711910658346,#78c1db,Arbitrum,6
arbitrum,2023-12-14T00:00:00+00:00,259159.69399010274,7.9396031746031746,450749759.96590173,2241136266.1734676,0.2338742594294074,#78c1db,Arbitrum,6
arbitrum,2023-12-13T00:00:00+00:00,299342.5834971662,8.115585317460317,534824719.8191742,2218739936.9730654,0.24067096332517482,#78c1db,Arbitrum,6
arbitrum,2023-12-12T00:00:00+00:00,307888.1773255156,8.012824074074073,534106921.68198174,2219034031.898552,0.24639935614549915,#78c1db,Arbitrum,6
arbitrum,2023-12-11T00:00:00+00:00,376196.473017314,7.707483465608465,784798984.0741835,2193974301.0365286,0.26073098813011814,#78c1db,Arbitrum,6
arbitrum,2023-12-10T00:00:00+00:00,197715.35102457987,7.615276124338624,232355218.419083,2213200492.3637614,0.26735737290179923,#78c1db,Arbitrum,6
arbitrum,2023-12-09T00:00:00+00:00,244795.00724705556,7.520112433862434,441772664.7755853,2193945741.003022,0.2689774795253398,#78c1db,Arbitrum,6
arbitrum,2023-12-08T00:00:00+00:00,279263.5421485526,7.308645833333333,407849493.6938331,2190025947.8287535,0.2699452179153719,#78c1db,Arbitrum,6
arbitrum,2023-12-07T00:00:00+00:00,334526.4353263873,7.075282738095238,581781579.989966,2172135141.946279,0.27050926227329847,#78c1db,Arbitrum,6
arbitrum,2023-12-06T00:00:00+00:00,316365.3939447694,6.806259920634921,470872362.8295282,2158520339.1651163,0.26030585901728953,#78c1db,Arbitrum,6
arbitrum,2023-12-05T00:00:00+00:00,339685.1840964793,6.79286541005291,575374613.9950569,2141011272.5738661,0.24317414656243103,#78c1db,Arbitrum,6
arbitrum,2023-12-04T00:00:00+00:00,314806.56675931223,6.832382605820106,578302422.1904647,2139331208.2960925,0.22251121034400625,#78c1db,Arbitrum,6
arbitrum,2023-12-03T00:00:00+00:00,171970.93118426975,6.795600198412698,246560521.30897108,2131173656.7356997,0.20757836318967154,#78c1db,Arbitrum,6
arbitrum,2023-12-02T00:00:00+00:00,178092.48402966617,7.232551256613757,318435245.02650476,2123515097.738168,0.1951468160147106,#78c1db,Arbitrum,6
arbitrum,2023-12-01T00:00:00+00:00,199133.37062510758,10.309396494708995,329486844.32551026,2121655199.8112724,0.1766965488754015,#78c1db,Arbitrum,6
arbitrum,2023-11-30T00:00:00+00:00,195291.1677356813,10.687222222222223,228252787.46236882,2126816488.177217,0.16478118783609297,#78c1db,Arbitrum,6
arbitrum,2023-11-29T00:00:00+00:00,191240.63854067554,11.078344907407407,273299956.7972993,2109708430.465456,0.15682391814006677,#78c1db,Arbitrum,6
arbitrum,2023-11-28T00:00:00+00:00,202620.27259551204,11.364781746031746,337224629.8231944,2102006545.40373,0.15894653583538446,#78c1db,Arbitrum,6
arbitrum,2023-11-27T00:00:00+00:00,199868.66537459218,11.670669642857142,347172439.6383251,2105632321.4161587,0.16075269859495675,#78c1db,Arbitrum,6
arbitrum,2023-11-26T00:00:00+00:00,163694.38504020445,11.676916335978836,271898285.11594224,2100655650.8492336,0.16068233248056432,#78c1db,Arbitrum,6
