Day,Only_BRC20_Fee,Only_Runes_Fee,Other_Inscriptions_Fee,Other_RnI_Fee,regular_tx_Fee,RnB_Fee
2024-10-07,0.41903199,4.788315070000233,0.0823191800000031,0.005341930000000001,7.403035490000065,0
2024-10-08,0.10420254999999994,4.80984937999977,0.09311461000000049,0.009000479999999998,11.786638420000676,0
2024-10-09,0.06550983999999997,5.45016078,0.1600036100000001,0.007346530000000001,9.544225600000205,0
2024-10-10,0.07267209000000002,10.050813809999847,0.13825017999999983,0.0037711600000000004,14.985700700000782,0
2024-10-11,0.08699704000000003,18.945595870001068,0.05474318,0.01327391,25.550399949996137,0
2024-10-12,0.11359310999999993,22.102364500000657,0.05928466999999998,0.01126561,22.519346980000787,0
2024-10-13,0.10557552999999903,9.649621869999569,0.11477764000000013,0.0064583,14.842962859999941,0
2024-10-14,0.07264474999999995,8.676258279999736,0.10781804999999985,0.01481528,16.762603660000792,0
2024-10-15,0.08021100000000009,9.191974370000269,0.17413804000000027,0.007989970000000002,16.353964519999682,0
2024-10-16,0.05753013000000004,28.744430689999806,0.07121670000000002,0.00847466,22.008998529997545,0
2024-10-17,0.11425228000000003,21.37958081000341,1.3259931999999965,0.0191785,38.56647832999652,0
2024-10-18,0.08919694000000061,2.8736802299999895,0.12886795999999823,0.01003393,21.997565979999713,0
2024-10-19,0.07298330999999977,4.802433449999637,0.6940112400000005,0.006005250000000001,10.024390170000427,3.819e-05
2024-10-20,0.08208589999999988,5.314733340000056,0.20740030999999925,0.00476459,7.92535717999949,0
2024-10-21,0.05540431000000001,7.507802159999561,0.10055651,0.01150743,9.842257620000035,0
2024-10-22,0.8119840699999803,9.376306539999126,0.47879707999999876,0.020184650000000002,14.999202870001655,0
2024-10-23,0.06962704000000011,8.5118057800016,0.40212743999999956,0.0044313799999999995,14.842223589998175,0
2024-10-24,0.05988180000000003,24.579375459999454,0.1253979200000001,0.00190796,22.751642840001644,0
2024-10-25,0.1003818900000001,11.929962409999577,1.1113096299999985,0.00436768,23.534494289998086,0
2024-10-26,0.10337388999999962,1.3236008000000983,0.2268837399999984,0.012013490000000002,8.87058625999939,0
2024-10-27,0.12595111999999703,1.2841498500000543,0.26422369999999523,0.00814126,6.55632199999955,0
2024-10-28,0.10072911999999908,1.3381149900000116,0.2651348699999932,0.00560652,5.890391579999989,0
2024-10-29,0.07802221000000024,2.1184337600000354,0.369960069999997,0.004738,8.912251130000193,0
2024-10-30,0.07238487000000032,1.821175840000007,0.2727895799999984,0.0037914,7.211997649999801,0
2024-10-31,0.10436042999999816,49.580569020012014,0.28417702999999694,0.029936120000000004,15.692644429998415,0
2024-11-01,0.10129500999999823,1.1846594900001504,0.30878435999999776,0.00192964,6.714374149999653,0
2024-11-02,0.08683347000000023,1.4843177299999841,0.4520897500000042,0.00248911,5.087185209999925,0
2024-11-03,0.07228000000000089,0.6670988199999717,0.16766773999999834,0.00094735,4.4387160300000525,0
2024-11-04,0.07547225000000075,0.5552304000000609,0.2138123699999969,0.0025806099999999997,5.4453655399998615,0
2024-11-05,0.058385020000000114,0.43888135000003586,0.2175282799999936,0.00024050000000000002,5.783938469999867,0
2024-11-06,0.08326886999999751,0.8497596699999977,0.08598785999999924,0.00190852,7.26011617999954,0
2024-11-07,0.10847204000000035,0.7567332100000148,0.0995160799999993,0.013913250000000002,5.665885119999921,0
2024-11-08,0.125434479999998,1.1490760900000019,0.10174653000000024,0.00117415,6.579384959999932,0
2024-11-09,0.16746347999999925,5.44174612999977,0.040198799999997606,0.003930739999999999,7.544481470000174,0
2024-11-10,0.5973362600000013,1.6498512499999929,0.13325101999999397,0.0025231799999999994,8.450972030000482,0
2024-11-11,0.12982389000000205,1.514319910000015,0.09270693000000069,0.00265473,13.477498820000303,0
2024-11-12,0.24481147000000172,2.466519300000025,0.1312598299999993,0.00088157,17.144553070000345,3.504e-05
2024-11-13,0.3143498099999986,4.335512209999871,0.066725780000002,0.00273859,18.215171460000057,0
2024-11-14,0.3824513099999982,5.1788839399998094,0.04200576000000064,0.00070275,19.092484430001257,0
2024-11-15,0.5282597600000014,13.582768249997589,0.10622943000000677,0.012416849999999998,27.19152519000035,0
2024-11-16,0.5961787399999936,3.0633085599999763,0.14613583999999522,0.01370076,14.42048351000001,0
2024-11-17,0.4232491999999968,1.732277800000017,0.1974743099999985,0.00512552,7.110606510000095,0
2024-11-18,0.19078239000000208,4.726542110000356,0.09527020999999693,0.00178663,12.508861060000058,0
2024-11-19,0.17839185999999804,8.494535140000416,0.12866476000000143,0.008780409999999999,15.616204150000584,0
2024-11-20,0.1412853699999995,6.800946940000131,0.06008301000000023,0.00708203,14.25425104000054,0
2024-11-21,0.15734049000000006,4.147087449999958,0.1197140799999995,0.012036409999999999,18.4647963400006,0
2024-11-22,0.24677306999999765,3.5207645799998257,0.12050729000000204,0.00562424,14.924986950000205,0
2024-11-23,0.15957774999999877,1.2716350300000925,0.15647218000000315,0.0071389,12.203924589999517,0
2024-11-24,0.2803437400000026,1.195229769999997,0.13330129000000188,0.00792542,7.776619370000058,0
2024-11-25,0.47699954999998767,1.3131717900000601,0.10049453999998781,0.00138462,9.559986810000304,0
2024-11-26,0.43114767000000853,3.9864078499998596,0.05824777999999581,0.00157151,12.730871600000523,0
2024-11-27,1.0539540200000108,0.36278733000000446,0.08642047000000438,0.00495103,8.495292390000127,0
2024-11-28,3.2805264099999953,0.25232655000000004,0.029731019999989977,0.03136437,10.159897210000835,0
2024-11-29,0.763375129999996,0.579343890000028,0.05263645000000004,0.0053509099999999995,11.663268840000343,2.325e-05
