date,MNT,USDC,USDT,CMETH,METH,ETH,WMNT,USDE,FBTC,WETH
2026-03-21 00:00:00,161785675.69416,28177979.6791,1651644.66489,32401593.08601,50202098.69002,0.0,40141.26394,60668829.41099,1754897.69957,226814890.56271
2026-03-22 00:00:00,158901433.8643,28561682.73869,1636707.51343,31382550.27024,48687350.76853,0.0,39314.76849,60801713.22585,1716564.17485,219462245.62833
2026-03-23 00:00:00,152863519.00689,29203110.86961,1619954.37483,32665279.66872,48042700.04467,0.0,37965.95098,61306855.48785,1673477.97611,216346726.9111
2026-03-24 00:00:00,151860697.17584,30184327.30963,1626341.40287,34107857.85055,50032309.06553,0.0,37664.238,61060329.43623,1763635.25397,230735229.15045
2026-03-25 00:00:00,154555339.55286,30406179.13127,1651651.5527,34409944.80331,50452725.29849,0.0,38232.03455,60446340.94406,1765789.33789,233495165.39026
2026-03-26 00:00:00,159273025.85806,32952455.4217,1650375.45302,34570042.40152,50949847.48528,0.0,39508.86448,60292798.54982,1768914.91236,233989374.82718
2026-03-27 00:00:00,144960160.81646,35458841.39638,1651232.15181,32504534.48362,46835900.49626,0.0,36329.42653,60602477.97553,1691125.43507,220188341.40198
2026-03-28 00:00:00,145286480.40565,37873419.12823,1657298.42394,31621620.15294,46451806.06112,0.0,36005.52617,60704937.96908,1651120.39177,215018179.12423
2026-03-29 00:00:00,144812747.92847,39002330.33344,1655070.91506,31734640.73072,46545247.88475,0.0,35898.57095,60639664.66024,1668207.73945,215928461.62929
2026-03-30 00:00:00,145837332.2702,38229635.08978,1633376.28981,31471031.64162,46219668.27603,0.0,35886.64087,60684752.67006,1653911.3679,214503231.4572
2026-03-31 00:00:00,148750816.46588,35836466.57064,1685608.81616,32308163.24312,47525474.80238,0.0,36765.29417,60483097.99666,1662956.22069,219583450.62507
2026-04-01 00:00:00,149164063.78269,15889251.70533,1684431.59152,33358090.95416,49047175.24916,0.0,37207.72158,60231570.77952,1707543.0341,227566838.75971
2026-04-02 00:00:00,149638100.63167,18152042.97481,1682892.94864,34107436.15035,50092203.46962,0.0,37451.22721,60032519.27986,1686219.14865,232885278.58603
2026-04-03 00:00:00,143416692.76835,17768023.01422,1685957.1296,32714548.53108,48140911.12057,0.0,35895.80257,60265675.60549,1661365.53082,222732573.14287
2026-04-04 00:00:00,144756205.23059,16042475.61682,1689000.84192,32623000.63503,47953717.82362,0.0,36070.62896,59895327.20825,1651271.80631,225916805.65833
2026-04-05 00:00:00,142236839.24602,15765011.09306,1685186.32055,32765526.97456,48194614.92893,0.0,35739.77604,59886682.3907,1681235.2584,227016027.84685
2026-04-06 00:00:00,144524750.99905,16322252.29886,1695282.89309,33573778.46738,49444044.59377,0.0,35836.16573,59298497.58481,1731241.26047,233155697.65217
2026-04-07 00:00:00,139085946.30045,17907379.42045,1684652.76697,33396394.91682,49243193.90708,0.0,34994.13077,59741541.18549,1785527.05041,231951214.56248
2026-04-08 00:00:00,143247286.94366,20328168.01265,1702441.25029,34863041.98955,52788878.09522,0.0,35641.84466,60456397.31803,1813406.59084,241826588.71933
2026-04-09 00:00:00,139566906.0703,20411108.46288,1693482.23238,34761726.08314,51172800.78507,0.0,35130.02193,60519407.86683,1821107.77031,241325608.89908
2026-04-10 00:00:00,141117483.98117,23713954.17535,1693395.91831,34916144.13124,51317970.36039,0.0,35556.78189,60256981.80638,1846676.36412,241740204.94424
2026-04-11 00:00:00,146517401.28879,23364611.23472,1697420.39893,35549926.39521,52295674.45883,0.0,36832.14255,60000450.65038,1914007.77668,246342922.46711
2026-04-12 00:00:00,144633687.90603,26226763.03405,1698697.15552,36313226.15339,53465522.33515,0.0,36335.67503,59649158.57608,1797739.88272,252948028.58364
2026-04-13 00:00:00,141471376.67982,26010954.76917,1636969.37623,34989409.18562,51623754.33375,0.0,35597.10931,59863429.935,1756764.37735,243792124.50504
2026-04-14 00:00:00,145221821.65355,26275157.00162,1637325.17011,37821743.15884,55728000.4232,0.0,36494.82229,57769253.52941,1665257.64338,263939054.42876
2026-04-15 00:00:00,139824765.70506,25100956.36337,1633501.43246,36913456.82849,54424836.69737,0.0,34948.53499,57048485.83194,1759533.12136,257289787.4854
2026-04-16 00:00:00,141056410.60301,25611735.66311,1636725.73655,37461004.72924,55196414.09904,0.0,35519.2827,55990794.18585,1725212.95905,261184691.24158
2026-04-17 00:00:00,146145408.25112,27397594.2182,1637580.39422,37262306.83565,55084740.41276,0.0,35925.62863,54929291.41998,1781561.10719,259690346.41356
2026-04-18 00:00:00,147943855.24196,27714250.34901,1643458.15051,38498893.66521,56837354.14804,0.0,36440.87415,54182050.53297,1816939.85485,268937182.04342
2026-04-19 00:00:00,143457612.35564,28700976.62987,1637125.08657,39382900.80591,55155550.273,0.0,35307.65548,54497007.14266,1854799.96803,261352574.76791
2026-04-20 00:00:00,135117178.21143,24377828.46471,1623908.27737,38124922.32527,53012149.13462,0.0,33230.71416,89003547.17108,1839585.92515,252211982.91052
2026-04-21 00:00:00,136578372.71839,29092922.47033,1632475.86155,38638696.88298,54170777.11853,0.0,33683.2602,99449671.80306,1883078.10509,258672013.01785
2026-04-22 00:00:00,136741915.53821,32566723.52632,2505787.72148,38848432.19105,55806707.85736,0.0,34706.55668,100174362.54686,1903029.6296,261467702.32933
2026-04-23 00:00:00,139188430.11005,32897334.67431,2494772.81011,39575683.78509,56741427.87849,0.0,35273.77757,99032334.34742,2022316.57703,293810315.66556
2026-04-24 00:00:00,140739508.42619,35511508.96941,2504975.3121,39089825.98385,56030331.44876,0.0,35619.56768,103878219.42035,2120832.84059,291072844.06713
2026-04-25 00:00:00,140811957.59934,35383538.06705,2494793.55521,38635482.54056,55843625.99006,0.0,35607.70969,103939670.05261,2112698.3275,285899243.62322
2026-04-26 00:00:00,142888912.4516,36099107.46292,2501392.33703,38628461.19315,55768771.05517,0.0,36105.88374,103769407.69794,2116983.45469,285830300.53623
2026-04-27 00:00:00,142597373.58692,36416428.55549,1637334.76005,39637199.88635,57241880.63328,0.0,36041.42165,103693214.06091,2111661.32347,293657299.64462
2026-04-28 00:00:00,138087755.25567,36213259.27123,1640713.42846,38582220.25562,55625898.4769,0.0,35062.61358,103919412.03569,2110540.40947,285907193.50385
2026-04-29 00:00:00,136699138.35707,36471590.0063,1846250.0249,38309547.41284,55260796.95291,0.0,34691.92507,103380543.32323,2102737.25711,284641631.69863
2026-04-30 00:00:00,135831234.07369,35709512.59356,1628354.95308,37704618.40695,54447767.07284,0.0,34361.30879,103217926.90438,2113208.54443,279649668.17235
2026-05-01 00:00:00,136070971.92672,37447036.27852,1634873.84977,37811912.03287,54586295.61453,0.0,34489.20467,103219565.19216,2146580.83603,280856901.96878
2026-05-02 00:00:00,137052924.92233,37427412.62605,1636896.25243,38419152.27671,55524829.77272,0.0,34731.8032,102999117.62346,2199218.29886,285125781.02603
2026-05-03 00:00:00,137053245.16207,38174703.50008,1636208.75867,38875170.42729,56126931.92104,0.0,34717.48943,102810156.5629,2230164.15217,289090441.34796
2026-05-04 00:00:00,137154801.69372,39733273.75757,1633422.15367,38887683.42707,56233807.35127,0.0,34742.19337,102479176.11231,2223907.54145,288986542.18326
2026-05-05 00:00:00,138989654.70084,39967058.8684,1633535.41854,39252072.74146,56893893.49635,0.0,35188.8354,102234864.10787,2291127.55827,292926442.74831
2026-05-06 00:00:00,140642751.72909,41181688.17043,1638050.70895,39595845.98535,57249464.84233,0.0,35515.55999,101904472.85282,2377424.14025,294492039.22935
2026-05-07 00:00:00,145536369.3634,40135885.98731,1635496.81654,39340523.48296,56872144.70694,0.0,36730.03287,101281920.49781,2407197.84047,292455225.16012
2026-05-08 00:00:00,144347433.28901,39347317.12173,1640068.12487,38377600.06068,55569691.62077,0.0,36445.51321,101389248.74836,2423635.25581,286078083.68414
2026-05-09 00:00:00,149239500.77924,39716335.62201,1652747.77774,39641492.69029,55870393.7477,0.0,37623.17324,100698431.46553,2477374.58184,288297829.0069
2026-05-10 00:00:00,148882422.1843,39140478.25616,1646204.57577,39979576.92895,56389327.26566,0.0,37571.10276,100608694.82153,2446951.5171,289374594.49772
2026-05-11 00:00:00,155809012.41121,38874010.90978,1658588.93878,40717773.73718,57390372.00912,0.0,39216.87475,99326183.44521,2463140.74456,297333277.31428
2026-05-12 00:00:00,151868754.98235,39300929.73922,1651069.92432,40177399.51426,56667511.59939,0.0,38364.17963,99313580.99758,2469736.64156,291726410.3573
2026-05-13 00:00:00,145341505.89163,41215392.56884,1651920.03483,39077550.97408,55151069.40889,0.0,36708.01629,99518312.62351,2506221.19839,284104962.48917
2026-05-14 00:00:00,146382152.76532,42389554.08928,1662222.13793,38710626.90825,54684531.67245,0.0,35865.72056,98134512.36759,2463992.21214,282007833.19059
2026-05-15 00:00:00,151140226.68762,42466571.44062,1648345.81229,39236762.72264,55307474.61134,0.0,37129.57401,97733388.39338,2521239.66549,284366954.92133
2026-05-16 00:00:00,143391429.15704,44331606.96247,1641240.76484,38093222.89492,54032063.1004,0.0,35397.45135,97860774.44035,2510755.58505,276551056.38862
2026-05-17 00:00:00,138781276.72207,43949523.43361,1648074.48166,37428816.81155,53038345.96883,0.0,34323.49955,97750275.45694,2535557.33192,271467383.72624
2026-05-18 00:00:00,138220104.28155,43980616.20859,1645511.22931,37408914.84264,52911511.22113,0.0,34304.32973,97263130.55443,2515935.7336,271402697.42625
2026-05-19 00:00:00,135165665.09767,42072597.51889,1650620.10431,36707235.47164,51943727.76645,0.0,33464.12182,97269859.70627,2546946.44814,267086627.7567
2026-05-20 00:00:00,134586001.69034,42546132.43249,1643431.28646,36305155.85711,51371103.00883,0.0,33324.83238,97779302.04461,2508270.05537,264771739.2249
2026-05-21 00:00:00,144047902.85459,46690510.32659,1657121.80802,36499594.04218,51866320.81926,0.0,35522.16518,97507313.63649,2574405.42121,286401825.04677
2026-05-22 00:00:00,147218850.4952,46402125.37048,1647418.17943,36480871.87376,51769865.40373,0.0,36164.50673,96496139.21468,2550953.10507,283535905.43742
2026-05-23 00:00:00,137864800.25218,20642378.0816,1650616.46223,35372065.97068,50140739.02427,0.0,34014.98246,97008563.11539,2488850.4917,275738921.24396
2026-05-24 00:00:00,144080106.19468,19936012.66451,1659098.9154,36306974.01209,51521400.19508,0.0,35534.57572,95645358.51898,2546201.16638,287674250.96975
2026-05-25 00:00:00,140695380.72414,19980186.35544,1634385.12241,36020954.45835,51072511.35745,0.0,34723.89057,95127778.23906,2531863.12761,284654198.66289
