Timestamp,Date,Measure,Centrifuge,Backed Finance,Backed Finance (xStocks),Securitize,Ondo,Swarm,STOKR,Figure,WisdomTree,Plume Vaults,Superstate Opening Bell,Remora Markets,Robinhood,st0x,bStocks,Dinari
1776297600000,2026-04-16,Bridged Token Value (Dollar),7365490.164216181,977732.4777435921,316222639.03523165,83624044.78,659399416.4967579,1386227.612015021,8870720,24664240.349999998,24101655.67520693,1881.3989884024963,26592520.434660677,1787075.6256710296,17961280.83560448,89104.24646445538,,9032763.801428132
1776384000000,2026-04-17,Bridged Token Value (Dollar),7383320.095072493,1011870.1860479284,318436094.3860386,80240635.76,662636319.3211935,1438929.4117885493,9138180,25304243.51,24388663.466327388,1881.3989884024963,27437365.49751584,1787075.6256710296,18658373.25317412,103388.03821085408,,9162604.989790268
1776470400000,2026-04-18,Bridged Token Value (Dollar),7383320.095072493,1011872.1789425879,318372154.2098426,86530135.76,662636319.3211935,1472118.3927004044,9138180,25304243.51,24388663.466327373,1881.3989884024963,27437365.49751584,1787075.6256710296,18659907.485522065,103388.0382108541,,9161271.15090426
1776556800000,2026-04-19,Bridged Token Value (Dollar),7383320.095072493,1011872.1789425879,318411479.6105473,86530135.76,662636311.0801008,1472118.3927004044,9118080,25304243.51,24388663.466327377,1881.3989884024963,27437365.49751584,1787075.6256710296,18659907.48552206,103388.03821085408,,9157610.581136497
1776643200000,2026-04-20,Bridged Token Value (Dollar),7472629.348282288,1031914.3144299523,338055483.30030423,87234083.66,648980311.50879,1474840.56499645,9908540,29404923.9,24335528.911469884,1881.3989884024963,27174918.458076797,1787075.6256710296,18787230.52721286,89039.82167851288,,9145555.882304965
1776729600000,2026-04-21,Bridged Token Value (Dollar),7465379.158282287,959033.4076032847,329479882.36912817,86495235.06,640006065.3861897,1453536.7085744187,10708620,28351855,24203997.890315153,1881.3989884024963,26103923.5107562,1787075.6256710296,17657078.7656872,101735.5854413099,,9189627.800034976
1776816000000,2026-04-22,Bridged Token Value (Dollar),7440392.338282287,1006964.2333791673,338783071.77610666,84959765.62,658471060.8732964,1446007.4529035178,10379340,28894590.51,24485807.496793143,1881.3989884024963,27450233.513076797,1787075.6256710296,17966091.19939884,81375.8005490248,,9336043.888073696
1776902400000,2026-04-23,Bridged Token Value (Dollar),7485024.740513505,967018.1534657947,332258340.73695225,93409675.34,655539673.4440415,1456455.1298930254,10266840,26099907.66,24332050.159713693,1881.3989884024963,26011625.051981278,1787075.6256710296,17414473.14524436,90182.150551321,,9244825.30977898
1776988800000,2026-04-24,Bridged Token Value (Dollar),7469620.480513506,976111.9304521865,335543503.5433953,86991414.92,680886885.8066783,1469503.897257324,10266840,26043203.95,24568190.81232807,1881.3989884024963,25787686.85769038,1787075.6256710296,18266583.608491365,97645.9586518613,,9314288.869012186
1777075200000,2026-04-25,Bridged Token Value (Dollar),7469620.480513506,976111.7661034917,335544464.18764055,88788414.92,680886885.6792564,1493970.6162883153,10266840,26043203.95,24568190.81232807,1881.3989884024963,25787686.85769038,1787075.6256710296,18267287.62193431,97645.95809081744,,9309390.247527363
1777161600000,2026-04-26,Bridged Token Value (Dollar),7469620.480513506,976111.7661034917,335493950.93244857,88788414.92,680886885.6792564,1493970.6162883153,10250240,26043203.95,24568190.81232807,1881.3989884024963,25787686.85769038,1787075.6256710296,18267287.095730275,97645.95809081745,,9308177.950163744
1777248000000,2026-04-27,Bridged Token Value (Dollar),7512730.244286578,961915.6911069829,335810073.5522766,89163853.8,688907515.7886856,1495996.556799536,10212340,26658844.229999997,24591542.435994707,1881.3989884024963,24838814.6760438,1787075.6256702289,18292858.560597315,106436.68887023021,,9267570.119828582
1777334400000,2026-04-28,Bridged Token Value (Dollar),7525235.437115494,930731.9727207939,335728848.6248158,86890722.54,644294569.8823826,1487329.9549826803,10205340,27833421.08,24601510.17914633,1881.3989884024963,24030428.990611356,1787075.6256702289,17716867.885383923,117611.24849840024,,9353402.476962563
1777420800000,2026-04-29,Bridged Token Value (Dollar),7488618.572778106,873128.3705470306,334790590.5776687,81851103.1,658960656.1642023,1421590.1486578588,10166900,26950463.310000002,24626092.490077715,1881.3989884024963,23632387.98170792,1787075.6256702289,17185103.253743555,117291.87591572615,,9299356.33460491
1777507200000,2026-04-30,Bridged Token Value (Dollar),7488600.725748771,901337.5189355054,338597877.3630717,80230980.16,663453691.3990189,1426727.3865416427,9882320,28432860.3,24876799.18041916,1881.3989884024963,25751858.84911744,1787075.6256702289,15567140.829512909,100925.16299706126,,9369816.62047821
1777593600000,2026-05-01,Bridged Token Value (Dollar),7560099.904400377,935222.7244081789,372165798.4556992,84199232.26,684169822.4033667,1470203.5711794654,9882320,29526431.85,24996648.081678394,1881.3989884024963,24714642.44264436,1787075.6256366607,18456886.294984527,96738.8356488531,,9460007.099680377
1777680000000,2026-05-02,Bridged Token Value (Dollar),7560099.904400377,935222.7244081789,372157604.2542596,87883082.26,684169822.3404506,1500123.1162652448,9882320,29526431.85,24996648.081678394,1881.3989884024963,24714642.44264436,1787075.6256366607,18458663.850614086,96738.83564885308,,9451786.868987411
1777766400000,2026-05-03,Bridged Token Value (Dollar),7560099.904400377,935756.5325123472,372168597.9082276,87883082.26,684169822.3404499,1500123.116265245,9882320,29526431.85,24996648.081678394,1881.3989884024963,24714642.44264436,1787075.6256366607,18458663.109995246,93726.9456488531,,9451563.045630384
1777852800000,2026-05-04,Bridged Token Value (Dollar),7584131.835539376,990258.9605481238,385029447.744193,87319923.94,724655804.814492,1500946.2598460047,10421140,29194310.12,24946483.848579507,1881.3989884024963,25114291.95349292,1787075.6256366607,18721722.158580996,81550.9538704034,,9512675.159318747
1777939200000,2026-05-05,Bridged Token Value (Dollar),7557325.32169757,966226.5571482567,386249457.60453564,87492791.28,751158777.7184554,1535807.511168709,10437640,30214976.9,25176946.687285185,1881.3989884024963,26561345.049800318,1787075.6256366607,18692185.43299117,92402.67276857086,,9589088.080770107
1778025600000,2026-05-06,Bridged Token Value (Dollar),7616269.233404851,967947.714933361,397147877.59992397,94581285.68,779226475.6462975,1567298.9483081764,10437640,31732014,25570754.061538197,1881.3989884024963,27783454.638101116,1787075.6256366607,19383663.703617327,96544.34510650177,,9696963.315808132
1778112000000,2026-05-07,Bridged Token Value (Dollar),6372945.767544745,938830.1172451301,393909344.6183208,96599269.66,774127995.2026159,1552779.9997734018,11009800,31322838.029999997,25487451.55300312,1881.3989884024963,26107168.6952668,1787075.6256366607,19169576.53755794,90079.43360972026,,9670136.481229827
1778198400000,2026-05-08,Bridged Token Value (Dollar),6353012.065223677,977168.8279007142,401897028.2367284,89083947.42,818297227.4193499,1595983.6899410395,11035640,31423044.39,25745323.704935096,1881.3989884024963,26780390.71734148,1787075.6256366607,20031599.57526829,104749.02370163875,,9753857.606156822
1778284800000,2026-05-09,Bridged Token Value (Dollar),6353012.065223677,977168.8279007144,401883372.7135839,94474947.42,818297227.419289,1639355.8122628853,11035640,31423044.39,25745323.704935092,1881.3989884024963,26780390.71734148,1787075.6256366607,20033262.591346107,104749.02370163875,,9747488.328452349
1778371200000,2026-05-10,Bridged Token Value (Dollar),6353012.065223677,981944.7272271144,401883348.33943474,94474947.42,818297227.3190776,1639355.8122628853,11035640,31423044.39,25745323.704935092,1881.3989884024963,26780390.71734148,1787075.6256366607,20033259.53617125,104749.02370163875,,9746715.273000818
1778457600000,2026-05-11,Bridged Token Value (Dollar),6405743.1980814235,1049535.821484208,417277932.8041499,94591257.14,872681961.7045478,1671353.5527134934,11045280,32542015.41,25777607.213344816,1881.3989884024963,27625771.94751168,1787075.6256366607,20420963.551758796,78651.83361778836,,9879622.394590182
1778544000000,2026-05-12,Bridged Token Value (Dollar),6420396.247454198,1007765.4131476331,410241757.2247091,90039448.12,847551838.466141,1665648.1592298509,11079080,23101693.5,25693635.28889516,1881.3989884024963,26135049.395648878,1787075.6256366607,19470798.24204333,90313.58718484489,,9853239.383693393
1778630400000,2026-05-13,Bridged Token Value (Dollar),6411592.195926756,981642.4327211659,414857309.6708503,83578467.56,902366730.2715827,1619128.5991027695,11079080,24826675.029999997,25693796.90724795,1881.3989884024963,25962219.978409555,1787075.6256366607,19503891.380435474,104946.65501794203,,9831295.306900343
1778716800000,2026-05-14,Bridged Token Value (Dollar),6446064.091238404,1029874.5442052844,418130072.8248497,81728041.2,913363623.6602727,1623398.7144518974,11390980,26487506.66,26157142.45376697,1881.3989884024963,28346416.59634704,1787075.6256366607,19819282.237932928,83658.12762425559,,9939384.70180543
1778803200000,2026-05-15,Bridged Token Value (Dollar),6495904.952002344,951955.0750178123,405977921.7247946,81018669.74,883033652.8384024,1594906.9791072137,10458760,34935659.28,25821059.186545435,1881.3989884024963,25065126.78295836,1787075.6256366607,19211579.926579885,98778.22766494556,,9821739.442161867
1778889600000,2026-05-16,Bridged Token Value (Dollar),6495904.952002344,951955.0750178122,405948009.4367515,74639319.74,883033652.4081,1554219.0410838241,10458760,34935659.28,25821059.186545435,1881.3989884024963,25065126.78295836,1787075.6256366607,19209265.680307325,99084.61239998002,,9820774.429983987
1778976000000,2026-05-17,Bridged Token Value (Dollar),6495904.952002344,951955.0750178122,405943132.31630325,74639319.74,883033652.4080993,1554219.041083824,10458760,34935659.28,25821059.186545435,1881.3989884024963,25065126.78295836,1787075.6256366607,19209271.64678709,99084.61224852488,,9820504.61054951
1779062400000,2026-05-18,Bridged Token Value (Dollar),6418220.693599086,925636.0715217907,402195423.96952325,70411132.34,887869284.0177628,1532215.4903989828,10353240,31141814.58,25777855.937050898,1881.3989884024963,23775354.251754116,1787075.6256366607,18391581.40481551,102889.39717564442,,9750411.578787897
1779148800000,2026-05-19,Bridged Token Value (Dollar),6414523.881894381,944034.6668560469,409957000.198265,78354919.82,887291038.5042398,1510601.2690703594,10353240,29244892.229999997,25603819.15910286,1881.3989884024963,22779930.715233803,1787075.6256366607,18418068.317939263,97349.27230979253,,9728793.605020085
1779235200000,2026-05-20,Bridged Token Value (Dollar),6371354.130517416,935847.7540729404,442390017.58708346,78694335.06,907199302.3132244,1531889.2885182044,9733460,29382116.4,25905617.110874575,1881.3989884024963,24820211.04246652,1787075.6256366607,18864448.555120878,94505.77040017488,,9811374.535582438
1779321600000,2026-05-21,Bridged Token Value (Dollar),6371354.130517416,946209.3441432135,462454238.57044435,82402843.38,932406287.2935545,1547388.492162823,9730060,27751570.380000003,25965488.327605154,1881.3989884024963,26496228.901643317,1787075.6256366607,19431664.740308553,102849.13128918491,,9853043.052213272
1779408000000,2026-05-22,Bridged Token Value (Dollar),6449732.822412254,902242.1645487647,460352805.62433726,81361067.02,949214618.5450879,1537946.9865861419,9730060,27404473.950000003,26084447.295467477,1881.3989884024963,25602888.8773974,1787075.6256366607,19526269.059925385,97382.15835696446,,9842721.961953925
1779494400000,2026-05-23,Bridged Token Value (Dollar),6449732.822412254,902242.1645487647,460346389.73082817,80013317.02,949214616.4801829,1528669.5488048568,9730060,27404473.950000003,26084447.295467477,1881.3989884024963,25602888.8773974,1787075.6256366607,19530048.094316687,97382.15835696447,,9841571.531015577
