month,assetType,volumeByAssetType,platformFeesByAssetType,totalVolumeInBillions,totalFeesInMillions,last30DayVolumeInBillions,last30DayRevenueInMillions,last30DayVolumeTokenTradingInMillions
2025-08-01 00:00:00.000 UTC,NFT Marketplace,243685326.38231948,1353796.0736597648,48.914150242365714,1014.6418520000319,0.36708014147276874,2.371803298155959,123.39481509044926
2025-08-01 00:00:00.000 UTC,Token Trading,123394815.09044926,1018007.2244961942,48.914150242365714,1014.6418520000319,0.36708014147276874,2.371803298155959,123.39481509044926
2025-07-01 00:00:00.000 UTC,Token Trading,132276353.20720908,1091279.913959474,48.914150242365714,1014.6418520000319,0.3238512253898755,2.06350119973341,132.27635320720907
2025-07-01 00:00:00.000 UTC,NFT Marketplace,191574872.1826664,972221.2857739361,48.914150242365714,1014.6418520000319,0.3238512253898755,2.06350119973341,132.27635320720907
2025-06-01 00:00:00.000 UTC,NFT Marketplace,104658199.7138291,625333.6575059919,48.914150242365714,1014.6418520000319,0.20479104975070567,1.451429670310223,100.13285003687656
2025-06-01 00:00:00.000 UTC,Token Trading,100132850.03687656,826096.0128042311,48.914150242365714,1014.6418520000319,0.20479104975070567,1.451429670310223,100.13285003687656
2025-05-01 00:00:00.000 UTC,NFT Marketplace,108602668.28141148,686492.7015805542,48.914150242365714,1014.6418520000319,0.14256252294687882,0.9666615025706596,33.95985466546735
2025-05-01 00:00:00.000 UTC,Token Trading,33959854.665467344,280168.80099010543,48.914150242365714,1014.6418520000319,0.14256252294687882,0.9666615025706596,33.95985466546735
2025-04-01 00:00:00.000 UTC,Token Trading,5323996.668503235,43922.97251515179,48.914150242365714,1014.6418520000319,0.06770153865594507,0.47412578829556673,5.323996668503235
2025-04-01 00:00:00.000 UTC,NFT Marketplace,62377541.98744183,430202.81578041497,48.914150242365714,1014.6418520000319,0.06770153865594507,0.47412578829556673,5.323996668503235
2025-03-01 00:00:00.000 UTC,NFT Marketplace,74822387.02011825,459689.38304898195,48.914150242365714,1014.6418520000319,0.31507117658514167,2.222503771970299,0.009413559181492696
2025-03-01 00:00:00.000 UTC,Token Trading,9413.559181492696,77.66186324731474,48.914150242365714,1014.6418520000319,0.31507117658514167,2.222503771970299,0.009413559181492696
2025-02-01 00:00:00.000 UTC,NFT Marketplace,240239376.00584194,1762736.7270580695,48.914150242365714,1014.6418520000319,0.24023937600584194,1.7627367270580696,0
2025-01-01 00:00:00.000 UTC,NFT Marketplace,194479228.12969786,3327237.635517376,48.914150242365714,1014.6418520000319,0.19447922812969787,3.327237635517376,0
2024-12-01 00:00:00.000 UTC,NFT Marketplace,326834020.8705696,5846980.48061721,48.914150242365714,1014.6418520000319,0.32683402087056956,5.84698048061721,0
2024-11-01 00:00:00.000 UTC,NFT Marketplace,86754450.3618553,1616990.0600664185,48.914150242365714,1014.6418520000319,0.08675445036185529,1.6169900600664184,0
2024-10-01 00:00:00.000 UTC,NFT Marketplace,49786575.76541992,979654.1984164984,48.914150242365714,1014.6418520000319,0.04978657576541992,0.9796541984164984,0
2024-09-01 00:00:00.000 UTC,NFT Marketplace,38179921.3993701,718114.310406266,48.914150242365714,1014.6418520000319,0.0381799213993701,0.718114310406266,0
2024-08-01 00:00:00.000 UTC,NFT Marketplace,42382933.02272974,807654.9401969353,48.914150242365714,1014.6418520000319,0.04238293302272974,0.8076549401969353,0
2024-07-01 00:00:00.000 UTC,NFT Marketplace,42008557.36991038,777029.6738730947,48.914150242365714,1014.6418520000319,0.04200855736991038,0.7770296738730947,0
2024-06-01 00:00:00.000 UTC,NFT Marketplace,50712863.42648018,1001517.7898107541,48.914150242365714,1014.6418520000319,0.05071286342648018,1.0015177898107541,0
2024-05-01 00:00:00.000 UTC,NFT Marketplace,65878263.59897759,1333302.0699463736,48.914150242365714,1014.6418520000319,0.06587826359897758,1.3333020699463736,0
2024-04-01 00:00:00.000 UTC,NFT Marketplace,143083243.30048257,3043007.847330377,48.914150242365714,1014.6418520000319,0.14308324330048258,3.0430078473303768,0
2024-03-01 00:00:00.000 UTC,NFT Marketplace,187438324.61413458,3854160.5030840174,48.914150242365714,1014.6418520000319,0.34746065508000284,7.120411761036507,0
2024-02-01 00:00:00.000 UTC,NFT Marketplace,160022330.46586826,3266251.2579524904,48.914150242365714,1014.6418520000319,0.16002233046586825,3.2662512579524905,0
2024-01-01 00:00:00.000 UTC,NFT Marketplace,151741211.14292285,3072326.116948351,48.914150242365714,1014.6418520000319,0.15174121114292285,3.072326116948351,0
2023-12-01 00:00:00.000 UTC,NFT Marketplace,177292651.08399945,3607053.3064933615,48.914150242365714,1014.6418520000319,0.17729265108399944,3.6070533064933614,0
2023-11-01 00:00:00.000 UTC,NFT Marketplace,142415641.77293736,2787082.628947886,48.914150242365714,1014.6418520000319,0.14241564177293736,2.787082628947886,0
2023-10-01 00:00:00.000 UTC,NFT Marketplace,173610837.12711543,1797956.5147902414,48.914150242365714,1014.6418520000319,0.17361083712711542,1.7979565147902414,0
2023-09-01 00:00:00.000 UTC,NFT Marketplace,78638402.16968134,1556286.184092809,48.914150242365714,1014.6418520000319,0.07863840216968133,1.556286184092809,0
2023-08-01 00:00:00.000 UTC,NFT Marketplace,113149702.5733949,2063266.6068805375,48.914150242365714,1014.6418520000319,0.11314970257339489,2.0632666068805374,0
2023-07-01 00:00:00.000 UTC,NFT Marketplace,133057181.69830455,2403018.52368761,48.914150242365714,1014.6418520000319,0.13305718169830455,2.40301852368761,0
2023-06-01 00:00:00.000 UTC,NFT Marketplace,168748164.659233,3190791.264655093,48.914150242365714,1014.6418520000319,0.168748164659233,3.1907912646550933,0
2023-05-01 00:00:00.000 UTC,NFT Marketplace,194008728.40538114,3743124.497860096,48.914150242365714,1014.6418520000319,0.19400872840538114,3.7431244978600957,0
2023-04-01 00:00:00.000 UTC,NFT Marketplace,305974095.290562,4714576.1952266265,48.914150242365714,1014.6418520000319,0.30597409529056196,4.714576195226626,0
2023-03-01 00:00:00.000 UTC,NFT Marketplace,401451472.210855,495409.9921257537,48.914150242365714,1014.6418520000319,1.1095110452148205,7.036751671211011,0
2023-02-01 00:00:00.000 UTC,NFT Marketplace,708059573.0039653,6541341.679085257,48.914150242365714,1014.6418520000319,0.7080595730039653,6.541341679085257,0
2023-01-01 00:00:00.000 UTC,NFT Marketplace,462025364.3921363,11409943.243838267,48.914150242365714,1014.6418520000319,0.46202536439213626,11.409943243838267,0
2022-12-01 00:00:00.000 UTC,NFT Marketplace,300402461.5231413,7503354.467903953,48.914150242365714,1014.6418520000319,0.3004024615231413,7.503354467903953,0
2022-11-01 00:00:00.000 UTC,NFT Marketplace,260091029.93544447,6490287.695463837,48.914150242365714,1014.6418520000319,0.2600910299354445,6.490287695463837,0
2022-10-01 00:00:00.000 UTC,NFT Marketplace,334645052.2559614,8351921.973523597,48.914150242365714,1014.6418520000319,0.3346450522559614,8.351921973523597,0
2022-09-01 00:00:00.000 UTC,NFT Marketplace,355928945.95008904,8892761.430431448,48.914150242365714,1014.6418520000319,0.35592894595008906,8.892761430431447,0
2022-08-01 00:00:00.000 UTC,NFT Marketplace,508225716.26135474,12734628.800644392,48.914150242365714,1014.6418520000319,0.5082257162613547,12.734628800644392,0
2022-07-01 00:00:00.000 UTC,NFT Marketplace,532975125.0649615,13365478.228334408,48.914150242365714,1014.6418520000319,0.5329751250649615,13.365478228334409,0
2022-06-01 00:00:00.000 UTC,NFT Marketplace,700967269.2316481,17610746.426697813,48.914150242365714,1014.6418520000319,0.7009672692316481,17.610746426697812,0
2022-05-01 00:00:00.000 UTC,NFT Marketplace,2620611666.038197,65764118.94603502,48.914150242365714,1014.6418520000319,2.620611666038197,65.76411894603503,0
2022-04-01 00:00:00.000 UTC,NFT Marketplace,3522830615.508365,88657283.5706025,48.914150242365714,1014.6418520000319,3.522830615508365,88.6572835706025,0
2022-03-01 00:00:00.000 UTC,NFT Marketplace,2528328143.6249137,63760708.246832564,48.914150242365714,1014.6418520000319,6.169379489461816,149.33208032301206,0
2022-02-01 00:00:00.000 UTC,NFT Marketplace,3641051345.836902,85571372.0761795,48.914150242365714,1014.6418520000319,3.6410513458369023,85.5713720761795,0
2022-01-01 00:00:00.000 UTC,NFT Marketplace,5021114085.534881,122766461.47975306,48.914150242365714,1014.6418520000319,5.02111408553488,122.76646147975306,0
2021-12-01 00:00:00.000 UTC,NFT Marketplace,2615076474.742922,67132083.37986448,48.914150242365714,1014.6418520000319,2.615076474742922,67.13208337986448,0
2021-11-01 00:00:00.000 UTC,NFT Marketplace,2212515614.735351,55867926.920728385,48.914150242365714,1014.6418520000319,2.2125156147353513,55.86792692072839,0
2021-10-01 00:00:00.000 UTC,NFT Marketplace,2562574007.378812,63720309.95097479,48.914150242365714,1014.6418520000319,2.562574007378812,63.720309950974794,0
2021-09-01 00:00:00.000 UTC,NFT Marketplace,3025763812.2067165,74023113.29181522,48.914150242365714,1014.6418520000319,3.0257638122067165,74.02311329181522,0
2021-08-01 00:00:00.000 UTC,NFT Marketplace,3438433177.20905,81727002.41966914,48.914150242365714,1014.6418520000319,3.4384331772090504,81.72700241966913,0
2021-07-01 00:00:00.000 UTC,NFT Marketplace,343853967.7594639,8078525.016825426,48.914150242365714,1014.6418520000319,0.3438539677594639,8.078525016825427,0
2021-06-01 00:00:00.000 UTC,NFT Marketplace,148616872.04121363,3466283.104768568,48.914150242365714,1014.6418520000319,0.14861687204121363,3.4662831047685683,0
2021-05-01 00:00:00.000 UTC,NFT Marketplace,134023872.54073827,3032370.5073748166,48.914150242365714,1014.6418520000319,0.13402387254073828,3.0323705073748166,0
2021-04-01 00:00:00.000 UTC,NFT Marketplace,89163892.2602956,1639963.4094520092,48.914150242365714,1014.6418520000319,0.0891638922602956,1.6399634094520092,0
2021-03-01 00:00:00.000 UTC,NFT Marketplace,136085706.1576487,3292494.576049852,48.914150242365714,1014.6418520000319,0.45962423916254613,5.4480573810753725,0
2021-02-01 00:00:00.000 UTC,NFT Marketplace,323538533.0048974,2155562.8050255207,48.914150242365714,1014.6418520000319,0.32353853300489743,2.1555628050255207,0
2021-01-01 00:00:00.000 UTC,NFT Marketplace,7625262.130156018,155194.8515896507,48.914150242365714,1014.6418520000319,0.007625262130156018,0.1551948515896507,0
2020-12-01 00:00:00.000 UTC,NFT Marketplace,3149963.4890242913,71772.56847708688,48.914150242365714,1014.6418520000319,0.003149963489024291,0.07177256847708688,0
2020-11-01 00:00:00.000 UTC,NFT Marketplace,4138051.9251411683,93488.01513570287,48.914150242365714,1014.6418520000319,0.004138051925141168,0.09348801513570286,0
2020-10-01 00:00:00.000 UTC,NFT Marketplace,4176613.6251240377,96829.1205047487,48.914150242365714,1014.6418520000319,0.004176613625124038,0.0968291205047487,0
2020-09-01 00:00:00.000 UTC,NFT Marketplace,2461079.1553708664,55320.97472690352,48.914150242365714,1014.6418520000319,0.0024610791553708665,0.05532097472690352,0
2020-08-01 00:00:00.000 UTC,NFT Marketplace,748153.3917001197,12875.36085425291,48.914150242365714,1014.6418520000319,0.0007481533917001197,0.012875360854252909,0
2020-07-01 00:00:00.000 UTC,NFT Marketplace,789455.7086568954,12275.690077811027,48.914150242365714,1014.6418520000319,0.0007894557086568954,0.012275690077811027,0
2020-06-01 00:00:00.000 UTC,NFT Marketplace,561047.9344003098,10820.317088582686,48.914150242365714,1014.6418520000319,0.0005610479344003098,0.010820317088582686,0
