date,xyz_share_all,xyz_share_q1peers,total_usd_all,xyz_usd,hhi_all,runner_up,runner_up_share,active_namespaces
2026-02-15,0.6555957141201819,0.6555957141201819,261058231.06175995,171148657.41988596,4689.5453765278,cash,0.1592898953405926,6
2026-02-16,0.7555076025052413,0.7555076025052413,440684403.9411601,332940417.4830372,5912.129245372512,cash,0.1248872106247384,6
2026-02-17,0.7808518345905661,0.7808518345905661,1351983967.3809812,1055699161.2664711,6327.0636968002655,cash,0.1453497105589074,6
2026-02-18,0.7662860938474583,0.7662860938474583,870609220.592538,667135738.915436,6107.49581687245,cash,0.1458816357578979,6
2026-02-19,0.7571772398619439,0.7571772398619439,1019252814.2334424,771755032.6027966,6033.868687539881,cash,0.1688392219215415,6
2026-02-20,0.7655585240655478,0.7655585240655478,1601645272.5490105,1226153190.9291823,6158.7284065988315,cash,0.1693943821059016,6
2026-02-21,0.6619004648359018,0.6619004648359018,212474513.64039084,140636979.34435686,4904.975951861651,cash,0.2148437602972833,6
2026-02-22,0.7739522296586032,0.7739522296586032,339005978.90285504,262374433.23946205,6220.614024838853,cash,0.1428480163245585,6
2026-02-23,0.7616677022619137,0.7616677022619137,1332197350.6861331,1014691695.056516,6096.078825620133,cash,0.1669028659337174,6
2026-02-24,0.7996307427714066,0.7996307427714066,1546025613.3840315,1236249609.5738926,6611.2422565296365,cash,0.1440835658529237,6
2026-02-25,0.8140736295424749,0.8140736295424749,1941630139.2741473,1580629894.707966,6801.490419189528,cash,0.1269649909938373,6
2026-02-26,0.7625894439316924,0.7625894439316924,1710116033.3124087,1304116434.9023812,6164.256687894553,cash,0.1843986153902615,6
2026-02-27,0.7273618540309391,0.7273618540309391,1488138245.9458456,1082414993.62552,5720.553065317886,cash,0.2040007678277492,6
2026-02-28,0.7624456859596792,0.7624456859596792,803029432.4851041,612266326.4969171,6012.287300969865,cash,0.1239963791639493,6
2026-03-01,0.7257946732333135,0.7257946732333135,678617837.3952842,492537211.54260814,5574.299824691824,cash,0.1610153961806903,6
2026-03-02,0.7184478585093644,0.7184478585093644,2613061360.487048,1877348338.5954864,5620.466217391314,cash,0.2099704770189403,6
2026-03-03,0.7476989237797275,0.7476989237797275,3920561923.059955,2931399930.4837074,5995.093180290354,cash,0.1982214799813857,6
2026-03-04,0.7558393988289376,0.7558393988289376,2633171700.569768,1990254915.1720247,6016.636747726648,cash,0.1683124002894444,6
2026-03-05,0.7753357327188038,0.7753357327188038,2311825078.9395494,1792440591.497302,6284.092092745504,cash,0.1607311484204893,6
2026-03-06,0.7908584813993355,0.7908584813993355,2362857165.976957,1868685630.0480735,6469.405554364401,cash,0.1402210541965981,6
2026-03-07,0.8243106264128223,0.8243106264128223,441532014.2687926,363959531.2632237,6897.989201489655,cash,0.0879780967628977,6
2026-03-08,0.8280471082282646,0.8280471082282646,880743816.5480666,729297370.3825517,6947.349007809692,cash,0.0794871795845475,6
2026-03-09,0.8811409693378399,0.8811409693378399,4095930269.3607426,3609091967.8847246,7819.824907796279,cash,0.0691347190721454,6
2026-03-10,0.8794450281316823,0.8794450281316823,2701675591.6649537,2375975166.7144647,7786.813519218819,cash,0.0657095778448964,6
2026-03-11,0.8870510164725902,0.8870510164725902,2294076704.2040706,2034963072.3303103,7916.659253510902,cash,0.063190021678772,6
2026-03-12,0.9038488194640516,0.9038488194640516,2717272316.0557084,2456003375.029301,8206.7251704756,cash,0.0570021653259939,6
2026-03-13,0.8683535161855358,0.8683535161855358,2099264511.1126895,1822903719.6282136,7622.179353411616,cash,0.0865433888687548,6
2026-03-14,0.8497325786519131,0.8497325786519131,639797548.0305866,543656820.3032016,7326.057528881892,cash,0.0982165933738212,6
2026-03-15,0.8421461894486204,0.8421461894486204,965658589.1560895,813225701.1661317,7190.200742455453,cash,0.0934197655339314,6
