hour_ts_utc,Trade[XYZ],Binance,OKX,Aster,Lighter,Ventuals
2026-06-04 02:00:00+00:00,187.0288053754782,186.52148008180222,183.06079779611468,186.49,,159.0137614678899
2026-06-04 03:00:00+00:00,188.57794591665788,188.08731415882136,184.71595911518824,188.10147703191933,,
2026-06-04 04:00:00+00:00,188.8801400925014,188.46531822973017,185.0780509200792,188.565,,158.37473826310506
2026-06-04 05:00:00+00:00,187.32568105117485,186.93963255559208,183.5058597927181,187.13985998129291,,159.14406330473045
2026-06-04 06:00:00+00:00,187.6718760427714,187.28262090553233,183.9602166452787,187.39,,159.91413494852318
2026-06-04 07:00:00+00:00,187.8278584238234,187.1604587092515,184.00206809593976,187.09507571700294,,160.69189602446482
2026-06-04 08:00:00+00:00,187.15803720367617,186.6018594780357,183.32961655250034,186.744662700457,,161.4842499574288
2026-06-04 09:00:00+00:00,185.91294871499363,185.4124203416543,181.76441873975483,185.59,,160.94801241399628
2026-06-04 10:00:00+00:00,183.0433431258786,182.6409289524484,179.34115632595564,182.3818414034239,,160.99388379204893
2026-06-04 11:00:00+00:00,181.2167313984815,180.83097315602367,177.34028734375528,180.722804667067,165.4434250764526,160.98986446335982
2026-06-04 12:00:00+00:00,182.2734642486518,181.84139538688265,178.36042750471336,182.615,166.78899082568805,161.23853211009174
2026-06-04 13:00:00+00:00,184.51504572389499,184.1332048254122,180.6257492359736,184.17073762272375,168.81498470948011,161.94954128440367
2026-06-04 14:00:00+00:00,182.06437757557438,181.59357334532893,178.12719298150387,181.95694805194802,167.27064220183485,161.4296636085627
2026-06-04 15:00:00+00:00,180.75612960126398,180.48934564246755,177.16496726653673,180.46003587585778,166.0091743119266,160.5428134556575
2026-06-04 16:00:00+00:00,180.46867497329018,180.22060350499362,176.3470424684333,180.19666715995484,165.22935779816513,159.14152200559178
2026-06-04 17:00:00+00:00,179.35307058291903,178.7948962959647,175.4695336320506,178.53,164.32721712538225,158.6882009050196
2026-06-04 18:00:00+00:00,173.05542760061786,172.90623995893475,170.62590965051018,172.90792472351555,158.09324155887398,153.05361525263132
2026-06-04 19:00:00+00:00,171.31503067742256,171.28404923144586,168.86818594779652,171.28180611079787,156.72782874617735,151.63608562691132
2026-06-04 20:00:00+00:00,171.7730709565655,171.66147429371347,168.61824192094525,171.0821970469194,157.7675840978593,150.0229357798165
2026-06-04 21:00:00+00:00,173.43104514333777,173.4289465995111,170.24357245128948,173.596647084893,158.65061162079508,152.88626289906534
2026-06-04 22:00:00+00:00,174.52705380775512,174.3376012116418,171.16469092521294,174.48052634436658,158.68119266055044,151.13514519928034
2026-06-04 23:00:00+00:00,175.82890121892376,175.7230860609409,172.4691560708882,175.97000000000003,160.55558277114372,152.09480122324157
2026-06-05 00:00:00+00:00,175.11034417694415,175.0678060972354,171.8106342411292,176.221147272906,161.085626911315,153.11926605504587
2026-06-05 01:00:00+00:00,176.85806466324343,176.80879622294253,173.6542472287135,176.55412700069175,161.00917431192659,153.60091743119267
2026-06-05 02:00:00+00:00,177.72295778299087,177.63145852263636,174.20616529493262,177.51,162.88990825688072,154.2737003058104
2026-06-05 03:00:00+00:00,175.90667299862184,175.89064876235625,172.48883276208312,175.91632412536654,161.60550458715596,152.90727487212195
2026-06-05 04:00:00+00:00,175.48784104574557,175.44753937222555,172.0379568686747,175.6579338742622,160.6230886850153,
2026-06-05 05:00:00+00:00,175.86153406118726,175.8596541866737,172.2843989170829,175.08828589332074,160.08027522935777,153.13455657492355
2026-06-05 06:00:00+00:00,173.1067796429308,173.31339808779074,170.05929368536806,173.65181735108376,159.5145259938838,153.01223241590216
2026-06-05 07:00:00+00:00,173.97486493583597,174.123614373043,170.75083653850106,173.77022854440347,159.7247706422018,153.5932721712538
2026-06-05 08:00:00+00:00,172.68703771048314,172.72528402424842,169.79969980534813,172.15406641195855,157.25670150531482,153.59327217125383
2026-06-05 09:00:00+00:00,168.19292398731642,168.30286731753733,165.45858695073542,168.50813632013507,154.43425076452598,152.15596330275224
2026-06-05 10:00:00+00:00,167.0673750462695,167.10756263516794,164.5855179236509,167.02,153.04418766165895,151.34085121689372
2026-06-05 11:00:00+00:00,167.31705303621442,167.234009723256,164.34458558481413,167.48436822130037,153.68119266055044,151.56727828746176
2026-06-05 12:00:00+00:00,168.15743321189956,168.08965454898907,165.09173150057222,168.2152973430408,152.96253822629967,152.59816321900115
2026-06-05 13:00:00+00:00,165.12990080789749,165.10886364188883,162.2443692987503,165.01156755714823,,150.30998666170206
2026-06-05 14:00:00+00:00,164.49465558543648,164.21576887033677,161.33484445904585,164.28140555537388,,148.41223126723753
2026-06-05 15:00:00+00:00,164.82628792196653,164.75089546805182,161.94236460373673,164.43321314519366,,148.60856269113148
2026-06-05 16:00:00+00:00,164.7475258606761,164.5821145005492,161.83185144466222,164.61,,147.5382262996942
2026-06-05 17:00:00+00:00,165.21399014558955,164.95675732745673,162.03550916077566,164.86633037612611,,147.4617737003058
2026-06-05 18:00:00+00:00,165.80837753824056,165.51791686295778,162.51371982508354,165.39933337095272,,147.64572241474747
2026-06-05 19:00:00+00:00,166.91682013574206,166.77214663752815,163.6100969426176,166.2875469995488,,147.46941896024467
2026-06-05 20:00:00+00:00,167.22925740789617,167.02507504160297,163.9443866725117,167.33108017709566,153.40596330275227,147.75611620795104
2026-06-05 21:00:00+00:00,166.96090137634508,166.78890981793506,163.72625885340565,167.6768722743675,153.8379204892966,147.95871559633025
2026-06-05 22:00:00+00:00,169.63008415810688,170.03505813369406,166.9577897275154,170.85791854395808,155.96330275229357,149.53363914373088
2026-06-05 23:00:00+00:00,167.72,167.34571209991154,164.12433641292006,168.15938635658915,153.42970676023,149.4886849042684
2026-06-06 00:00:00+00:00,167.44980291162216,167.30878584684564,164.0983390799991,167.59342132121571,153.72706422018348,149.19001104719743
2026-06-06 01:00:00+00:00,166.29500103370395,166.20440563140687,163.01598618468432,166.35000000000002,152.4947673392299,149.4778050566198
2026-06-06 02:00:00+00:00,164.49849608630905,164.32801132410395,161.34180180343822,163.93251539584128,150.5810397553517,149.0797266302126
2026-06-06 03:00:00+00:00,163.54467785645744,163.3071304265669,160.24834571100786,163.3604134395759,150.07645259938838,148.98240060588233
2026-06-06 04:00:00+00:00,162.4496645532857,162.2582319765245,159.08773162500796,162.19,,148.84560663506716
